File	Input_Reads	Input_Reads_With_Hits	Total_Alignments	Input_Reads_With_Taxonomy	Min_Support_Reads_Threshold_MALT	Percentage_Hits	Percentage_Hits_with_Taxonomy
ABM006.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	8057367	3098254	40582658	3055977	309	38.45243738	37.92773744
ABM007_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	12981357	3039478	21517291	3019875	303	23.41417773	23.26316887
ABM008_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	5032357	1293482	9740654	1288294	129	25.70330364	25.6002108
BAN001.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	10106625	321110	7736385	318352	32	3.177222861	3.149933831
BIT001_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	23239961	4610915	102746365	4486782	461	19.84045928	19.30632328
BSQ001.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	10866912	1262341	11665756	1243470	126	11.61637271	11.44271712
CDC005_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	4526782	1046397	18018371	1025025	104	23.11569234	22.64356888
CDC006.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	15120313	4730331	55957196	4676575	473	31.28461031	30.92908857
CDC007.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	15878673	3772587	73188592	3726266	377	23.75883048	23.46711214
CDC008.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	15094966	2573565	20108528	2538965	257	17.04916063	16.81994514
CDC009.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	14286106	2343387	17159263	2334496	234	16.40325922	16.34102393
CDC010.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	15031925	3696871	26337803	3680244	369	24.59346358	24.48285233
CDC011_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	9141614	2641114	33697595	2626113	264	28.89111266	28.72701691
Chimp.150519_S0_L000_R1_000.fastq.merged.rma6	17575167	6466624	53905272	6449913	646	36.79409703	36.69901401
DJA002.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	11978137	3648494	35204640	3636151	364	30.45961154	30.35656547
DJA006_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	13754707	3483012	30819716	3435187	348	25.32232784	24.97462869
DJA007_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	17395667	4552423	35384473	4533544	455	26.16986747	26.06134045
