Individual	No_Mapped_16s_Reads
JAE006.A0101	238627
JAE007.A0101	222812
SRR1930123	189063
JAE012.A0101	178990
SRR1930141	168960
ERR1883422	163826
SRR1930121	162667
SRR063517	150590
JAE016.A0101	148556
JAE010.A0101	138970
SRR1929408	135796
JAE008.A0101	134625
JAE014.A0101	133776
JAE009.A0101	132114
SRR1761718	130454
SRR512767	124541
SRR1761698	114792
JAE013.A0101	114528
SRR513828	107700
ElSidron2	106170
SRR1761710	103649
JAE015.A0101	103424
SRR1761705	101662
SRR059389	101413
SRR1761721	99834
VLC005.A0101	94412
SRR1761677	94030
ElSidron1	86632
SRR062083	85994
SRR514329	83857
SRR061365	80800
MTM003.A0101	79884
SRR061562	78387
SRR1761692	77969
VLC004.A0101	77666
VLC001.A0101	76402
SRR514306	76340
SRR1761682	75064
SRR061192	74599
SRR1761688	73956
SRR513775	70166
SRR1930145	68515
SRR1761697	67575
ERR1883423	64303
VLC009.A0101	63341
SRR059917	62636
SRR059425	61888
SRR059455	60436
SRR060358	59456
VLC003.A0101	59260
VLC008.A0101	57773
GDC004.A0101	57316
SRR513768	55780
SRR061320	54148
SRR1804664	53352
SRR3184100	51790
ERR1883424	48101
PYK005.A0101	47657
SRR1804823	46184
WAL001.A0101	45364
RIG001.A0101	43333
IBA001.A0101	42842
SRR3184876	42839
IBA002.A0101	42292
GDN001.A0101	41594
SRR1633008	38568
SRR514239	38425
SRR514202	38380
ERR1883436	37469
SRR062298	37169
ERR1883430	36568
SRR1631063	35897
SRR1631064	35710
Chimp.150519	35245
ERR1883420	34780
ERR1883421	34316
SRR513165	33343
ERR1883418	33224
ECO002.B0101	33066
SRR3189411	32547
SRR1631061	32334
MTM012.A0101	32245
OAK003.A0101	32055
SRR1631060	31469
BAN001.A0101	30467
SRR061294	30329
VLC010.A0101	29957
SRR3189416	29789
MTM010.A0101	29666
OME003.A0101	29329
VLC002.A0101	29269
PYK004.A0101	28885
OAK002.A0101	28380
OME007.A0101	27986
BSQ001.A0101	27857
SRR3189418	27439
EBO001.A0101	27341
ERR1883438	27240
EBO003.A0101	26973
ERR1883419	26195
CDC008.A0101	26005
BIT001.A0101	25983
OME002.A0101	25833
ECO004.B0101	24886
SpyOld	24308
PLV001.A0101	23910
GDC002.A0101	23791
DJA007.A0101	23620
PYK002.A0101	23501
OAK005.A0101	23483
FUM002.A0101	23331
EMN001.A0101	22122
PYK003.A0101	21652
SRR062299	21492
OME005.A0101	21327
OAK004.A0101	20590
PES001.B0101	20564
OFN001.A0101	19525
LIS001.A0101	18500
FUM003.A0101	18436
KNP001.A0102	18347
GOY005.A0101	18289
LIS003.A0101	18229
TAF018.A0101	18167
ESA003.A0101	17964
MTM013.A0101	17944
CDC010.A0101	17861
CDC006.A0101	17718
MTK001.A0101	17467
ABM007.A0101	16574
GDC005.A0101	15916
DJA002.A0101	15894
LIS002.A0101	15812
ECO010.B0101	15721
CDC007.A0101	15679
CDC009.A0101	15621
DJA006.A0101	15550
ESA006.A0101	15356
MOA001.A0101	15160
EBO008.A0101	15068
FUM001.A0101	14978
MTS002.A0101	14449
MTS001.A0101	14411
KNP006.A0102	14390
ESA007.A0101	14263
ESA008.A0101	14247
VLD001.A0101	13933
KNP003.A0102	13391
OME009.A0101	13312
KNP009.A0102	13297
KNP005.A0102	13249
MTS003.A0101	13088
MTM006.A0101	12502
ESA004.A0101	11923
TAF008.B0101	11781
KNP007.A0102	11663
CDC011.A0101	11530
MTM008.A0101	11511
PYK001.A0101	11342
LOB001.A0101	11264
ABM006.A0101	10743
ARS017.A0101.SG1.2	10738
MTM011.A0101	10149
ARS015.A0101.SG1.2	9282
GUE001.A0101	9041
SpyNew	8993
ARS001.A0101.SG1.2	8808
FDM001.A0101	8549
MTM009.A0101	8256
MTM001.A0101	8248
TAF017.A0101	8185
MTM005.A0101	8045
MTM004.A0101	7931
MTM002.A0101	7190
OAK001.A0101	6871
ARS013.A0101.SG1.2	6821
ZAF001.A0101	6729
ARS004.A0101.SG1.2	6440
ARS005.A0101.SG1.2	6289
GOY006.A0101	6263
ARS012.A0101.SG1.2	6248
ABM008.A0101	6009
ARS020.A0101.SG1.2	5942
CDC005.A0101	5809
ARS011.A0101.SG1.2	5510
ARS010.A0101.SG1.2	5460
ECO006.B0101	5374
EBO009.A0101	4467
SPM002.A0101	2840
SPM001.A0101	2662
LIB015.A0101	1961
DLV001.A0101	1842
EXB023.A0101	1553
TAF016.B0101	1413
EXB015.A2801	1282
EXB022.A0101	1188
EXB033.A0801	812
EXB033.A0401	627
LIB014.A0101	608
LIB025.A0301	498
LIB007.A0122	427
EXB015.A2501	426
EXB015.A2601	387
LIB017.A0101	379
LIB025.A0601	344
LIB025.A0701	332
LIB007.A0123	311
KNP004.A0102	271
LIB007.A0124	263
EXB033.A1401	201
EXB015.A2201	134
EXB002.A1101	132
DLV002.A0101	100
EXB015.A2401	99
LIB007.A0120	93
LIB009.A0102	92
EXB015.A2901	87
EXB015.A2001	84
EXB015.A1901	82
EXB015.A2101	75
EXB015.A1701	59
LIB007.A0118	44
EXB015.A2301	43
LIB017.A0102	36
LIB007.A0119	35
EXB020.A0101	35
EXB021.A0101	32
LIB012.A0101	27
LIB007.A0117	5
LIB013.A0101	0
