Sample	OTUs
LIB007.A0119	2
LIB007.A0117	3
EXB015.A2301	14
LIB017.A0102	16
LIB012.A0101	19
EXB021.A0101	21
LIB007.A0118	25
EXB020.A0101	25
DLV002.A0101	27
EXB015.A1701	32
LIB007.A0120	36
EXB015.A2001	40
EXB015.A2101	46
EXB015.A1901	51
LIB009.A0102	54
EXB015.A2901	56
EXB015.A2401	65
EXB015.A2201	79
EXB002.A1101	83
LIB017.A0101	131
LIB007.A0123	149
EXB033.A1401	151
LIB007.A0124	202
KNP004.A0102	203
LIB025.A0701	238
LIB007.A0122	246
EXB015.A2501	256
EXB015.A2601	257
LIB025.A0301	264
LIB025.A0601	276
LIB014.A0101	400
BAN001.A0101	485
EXB033.A0401	495
DLV001.A0101	577
EXB033.A0801	615
EXB015.A2801	749
EXB022.A0101	783
EXB023.A0101	913
SPM002.A0101	1,028.00
TAF016.B0101	1,098.00
LIB015.A0101	1,387.00
SPM001.A0101	1,399.00
GUE001.A0101	2,651.00
EBO009.A0101	2,845.00
BSQ001.A0101	3,044.00
CDC005.A0101	3,284.00
ECO006.B0101	3,513.00
ABM008.A0101	3,622.00
MTM002.A0101	3,802.00
ZAF001.A0101	4,238.00
OAK001.A0101	4,249.00
GOY006.A0101	4,371.00
MTM009.A0101	4,505.00
ARS010.A0101.SG1.2	4,685.00
ARS011.A0101.SG1.2	4,742.00
TAF017.A0101	4,854.00
ARS020.A0101.SG1.2	5,078.00
LOB001.A0101	5,245.00
ARS005.A0101.SG1.2	5,265.00
ARS012.A0101.SG1.2	5,325.00
ARS004.A0101.SG1.2	5,521.00
MTM004.A0101	5,608.00
FDM001.A0101	5,671.00
ARS013.A0101.SG1.2	5,810.00
ERR1883424	5,855.00
MTM005.A0101	6,014.00
MTM001.A0101	6,055.00
MTM011.A0101	6,092.00
ERR1883423	6,350.00
ERR1883422	6,586.00
ERR1883438	6,979.00
CDC011.A0101	7,232.00
TAF008.B0101	7,321.00
SpyNew	7,432.00
ERR1883421	7,616.00
CDC008.A0101	7,633.00
ARS001.A0101.SG1.2	7,746.00
ARS015.A0101.SG1.2	7,810.00
ERR1883430	7,852.00
ABM006.A0101	7,884.00
VLD001.A0101	7,934.00
KNP007.A0102	7,948.00
KNP006.A0102	8,323.00
ESA004.A0101	8,335.00
PYK001.A0101	8,363.00
KNP009.A0102	8,611.00
CDC007.A0101	8,620.00
CDC010.A0101	8,620.00
MTM008.A0101	8,676.00
DJA002.A0101	8,689.00
ECO010.B0101	8,839.00
KNP005.A0102	9,097.00
CDC009.A0101	9,199.00
ARS017.A0101.SG1.2	9,233.00
KNP003.A0102	9,257.00
EBO008.A0101	9,293.00
MTM006.A0101	9,325.00
FUM001.A0101	9,463.00
OME009.A0101	9,591.00
GDC005.A0101	9,909.00
MTS001.A0101	9,938.00
MTS003.A0101	10,002.00
DJA006.A0101	10,061.00
WAL001.A0101	10,358.00
MTS002.A0101	10,509.00
ABM007.A0101	10,580.00
ERR1883419	10,609.00
ESA006.A0101	10,646.00
GOY005.A0101	10,647.00
ESA008.A0101	10,673.00
LIS002.A0101	10,805.00
GDC002.A0101	11,095.00
ESA007.A0101	11,355.00
MOA001.A0101	11,422.00
KNP001.A0102	11,788.00
SRR062299	11,834.00
CDC006.A0101	12,186.00
ERR1883420	12,212.00
TAF018.A0101	12,261.00
ERR1883436	12,388.00
SpyOld	12,499.00
OAK004.A0101	12,840.00
MTM013.A0101	12,891.00
LIS003.A0101	12,964.00
OFN001.A0101	13,102.00
MTK001.A0101	13,435.00
ERR1883418	13,459.00
ESA003.A0101	13,933.00
ECO004.B0101	14,173.00
PES001.B0101	14,606.00
FUM003.A0101	14,647.00
LIS001.A0101	14,666.00
FUM002.A0101	14,688.00
PYK003.A0101	14,688.00
GDC004.A0101	14,729.00
OME005.A0101	14,984.00
OAK005.A0101	15,098.00
EMN001.A0101	15,650.00
DJA007.A0101	15,680.00
OAK002.A0101	15,932.00
BIT001.A0101	15,941.00
PLV001.A0101	16,164.00
OME002.A0101	17,702.00
PYK002.A0101	17,770.00
EBO003.A0101	17,985.00
ECO002.B0101	18,917.00
OME003.A0101	19,028.00
SRR061294	19,425.00
EBO001.A0101	19,651.00
OME007.A0101	19,918.00
MTM010.A0101	21,659.00
Chimp.150519	22,348.00
PYK004.A0101	22,625.00
OAK003.A0101	22,771.00
SRR514202	23,265.00
SRR062298	23,287.00
MTM012.A0101	24,440.00
VLC002.A0101	24,818.00
SRR3189418	25,282.00
GDN001.A0101	25,933.00
VLC010.A0101	26,250.00
SRR3189416	27,432.00
SRR1631060	27,750.00
RIG001.A0101	27,823.00
SRR1631061	28,462.00
IBA001.A0101	28,481.00
SRR514239	28,825.00
SRR3189411	29,703.00
SRR513165	29,752.00
SRR1631064	31,566.00
SRR1631063	31,747.00
SRR3184876	33,393.00
IBA002.A0101	33,754.00
SRR1633008	35,229.00
SRR060358	37,287.00
PYK005.A0101	39,691.00
SRR061192	43,191.00
SRR1804823	43,211.00
SRR061365	43,280.00
SRR3184100	47,878.00
SRR061320	48,088.00
SRR1804664	51,038.00
SRR513768	52,708.00
SRR063517	52,711.00
SRR059917	52,986.00
VLC003.A0101	53,367.00
VLC008.A0101	53,748.00
SRR059425	54,445.00
ElSidron1	56,646.00
SRR059455	56,672.00
SRR513775	57,318.00
SRR059389	57,749.00
VLC009.A0101	57,927.00
SRR1930145	59,080.00
MTM003.A0101	62,324.00
SRR514329	63,588.00
SRR061562	64,297.00
SRR1761697	64,842.00
VLC004.A0101	66,879.00
VLC001.A0101	69,418.00
SRR1761688	71,252.00
SRR514306	71,941.00
SRR1761682	72,275.00
ElSidron2	74,528.00
SRR1761692	74,537.00
SRR062083	76,641.00
VLC005.A0101	76,995.00
SRR1761677	89,009.00
SRR1761721	91,885.00
JAE015.A0101	92,765.00
SRR1761705	92,865.00
SRR1761710	96,871.00
SRR513828	99,117.00
JAE013.A0101	100,798.00
SRR1761698	107,775.00
SRR512767	116,135.00
JAE008.A0101	116,321.00
JAE010.A0101	117,201.00
JAE009.A0101	117,575.00
JAE014.A0101	117,853.00
SRR1929408	119,424.00
SRR1761718	120,944.00
JAE016.A0101	134,938.00
SRR1930121	145,232.00
SRR1930141	154,205.00
JAE012.A0101	159,128.00
SRR1930123	169,917.00
JAE007.A0101	201,926.00
