ID	ABM006.A0101.mp2profile	ABM007.A0101.mp2profile	ABM008.A0101.mp2profile	ARS001.A0101.SG1.2.mp2profile	ARS004.A0101.SG1.2.mp2profile	ARS005.A0101.SG1.2.mp2profile	ARS010.A0101.SG1.2.mp2profile	ARS011.A0101.SG1.2.mp2profile	ARS012.A0101.SG1.2.mp2profile	ARS013.A0101.SG1.2.mp2profile	ARS015.A0101.SG1.2.mp2profile	ARS017.A0101.SG1.2.mp2profile	ARS020.A0101.SG1.2.mp2profile	BAN001.A0101.mp2profile	BIT001.A0101.mp2profile	BSQ001.A0101.mp2profile	CDC005.A0101.mp2profile	CDC006.A0101.mp2profile	CDC007.A0101.mp2profile	CDC008.A0101.mp2profile	CDC009.A0101.mp2profile	CDC010.A0101.mp2profile	CDC011.A0101.mp2profile	Chimp.150519.mp2profile	DJA002.A0101.mp2profile	DJA006.A0101.mp2profile	DJA007.A0101.mp2profile	DLV001.A0101.mp2profile	DLV002.A0101.mp2profile	EBO001.A0101.mp2profile	EBO003.A0101.mp2profile	EBO008.A0101.mp2profile	EBO009.A0101.mp2profile	ECO002.B0101.mp2profile	ECO004.B0101.mp2profile	ECO006.B0101.mp2profile	ECO010.B0101.mp2profile	ElSidron1.mp2profile	ElSidron2.mp2profile	EMN001.A0101.mp2profile	ERR1883418.mp2profile	ERR1883419.mp2profile	ERR1883420.mp2profile	ERR1883421.mp2profile	ERR1883422.mp2profile	ERR1883423.mp2profile	ERR1883424.mp2profile	ERR1883430.mp2profile	ERR1883436.mp2profile	ERR1883438.mp2profile	ESA003.A0101.mp2profile	ESA004.A0101.mp2profile	ESA006.A0101.mp2profile	ESA007.A0101.mp2profile	ESA008.A0101.mp2profile	EXB002.A1101.mp2profile	EXB015.A1701.mp2profile	EXB015.A1901.mp2profile	EXB015.A2001.mp2profile	EXB015.A2101.mp2profile	EXB015.A2201.mp2profile	EXB015.A2301.mp2profile	EXB015.A2401.mp2profile	EXB015.A2501.mp2profile	EXB015.A2601.mp2profile	EXB015.A2801.mp2profile	EXB015.A2901.mp2profile	EXB020.A0101.mp2profile	EXB021.A0101.mp2profile	EXB022.A0101.mp2profile	EXB023.A0101.mp2profile	EXB033.A0401.mp2profile	EXB033.A0801.mp2profile	EXB033.A1401.mp2profile	FDM001.A0101.mp2profile	FUM001.A0101.mp2profile	FUM002.A0101.mp2profile	FUM003.A0101.mp2profile	GDC002.A0101.mp2profile	GDC004.A0101.mp2profile	GDC005.A0101.mp2profile	GDN001.A0101.mp2profile	GOY005.A0101.mp2profile	GOY006.A0101.mp2profile	GUE001.A0101.mp2profile	IBA001.A0101.mp2profile	IBA002.A0101.mp2profile	JAE006.A0101.mp2profile	JAE007.A0101.mp2profile	JAE008.A0101.mp2profile	JAE009.A0101.mp2profile	JAE010.A0101.mp2profile	JAE012.A0101.mp2profile	JAE013.A0101.mp2profile	JAE014.A0101.mp2profile	JAE015.A0101.mp2profile	JAE016.A0101.mp2profile	KNP001.A0102.mp2profile	KNP003.A0102.mp2profile	KNP004.A0102.mp2profile	KNP005.A0102.mp2profile	KNP006.A0102.mp2profile	KNP007.A0102.mp2profile	KNP009.A0102.mp2profile	LIB007.A0117.mp2profile	LIB007.A0118.mp2profile	LIB007.A0119.mp2profile	LIB007.A0120.mp2profile	LIB007.A0122.mp2profile	LIB007.A0123.mp2profile	LIB007.A0124.mp2profile	LIB009.A0102.mp2profile	LIB012.A0101.mp2profile	LIB013.A0101.mp2profile	LIB014.A0101.mp2profile	LIB015.A0101.mp2profile	LIB017.A0101.mp2profile	LIB017.A0102.mp2profile	LIB025.A0301.mp2profile	LIB025.A0601.mp2profile	LIB025.A0701.mp2profile	LIS001.A0101.mp2profile	LIS002.A0101.mp2profile	LIS003.A0101.mp2profile	LOB001.A0101.mp2profile	MOA001.A0101.mp2profile	MTK001.A0101.mp2profile	MTM001.A0101.mp2profile	MTM002.A0101.mp2profile	MTM003.A0101.mp2profile	MTM004.A0101.mp2profile	MTM005.A0101.mp2profile	MTM006.A0101.mp2profile	MTM008.A0101.mp2profile	MTM009.A0101.mp2profile	MTM010.A0101.mp2profile	MTM011.A0101.mp2profile	MTM012.A0101.mp2profile	MTM013.A0101.mp2profile	MTS001.A0101.mp2profile	MTS002.A0101.mp2profile	MTS003.A0101.mp2profile	OAK001.A0101.mp2profile	OAK002.A0101.mp2profile	OAK003.A0101.mp2profile	OAK004.A0101.mp2profile	OAK005.A0101.mp2profile	OFN001.A0101.mp2profile	OME002.A0101.mp2profile	OME003.A0101.mp2profile	OME005.A0101.mp2profile	OME007.A0101.mp2profile	OME009.A0101.mp2profile	PES001.B0101.mp2profile	PLV001.A0101.mp2profile	PYK001.A0101.mp2profile	PYK002.A0101.mp2profile	PYK003.A0101.mp2profile	PYK004.A0101.mp2profile	PYK005.A0101.mp2profile	RIG001.A0101.mp2profile	SPM001.A0101.mp2profile	SPM002.A0101.mp2profile	SpyNew.mp2profile	SpyOld.mp2profile	SRR059389.mp2profile	SRR059425.mp2profile	SRR059455.mp2profile	SRR059917.mp2profile	SRR060358.mp2profile	SRR061192.mp2profile	SRR061294.mp2profile	SRR061320.mp2profile	SRR061365.mp2profile	SRR061562.mp2profile	SRR062083.mp2profile	SRR062298.mp2profile	SRR062299.mp2profile	SRR063517.mp2profile	SRR1631060.mp2profile	SRR1631061.mp2profile	SRR1631063.mp2profile	SRR1631064.mp2profile	SRR1633008.mp2profile	SRR1761677.mp2profile	SRR1761682.mp2profile	SRR1761688.mp2profile	SRR1761692.mp2profile	SRR1761697.mp2profile	SRR1761698.mp2profile	SRR1761705.mp2profile	SRR1761710.mp2profile	SRR1761718.mp2profile	SRR1761721.mp2profile	SRR1804664.mp2profile	SRR1804823.mp2profile	SRR1929408.mp2profile	SRR1930121.mp2profile	SRR1930123.mp2profile	SRR1930141.mp2profile	SRR1930145.mp2profile	SRR3184100.mp2profile	SRR3184876.mp2profile	SRR3189411.mp2profile	SRR3189416.mp2profile	SRR3189418.mp2profile	SRR512767.mp2profile	SRR513165.mp2profile	SRR513768.mp2profile	SRR513775.mp2profile	SRR513828.mp2profile	SRR514202.mp2profile	SRR514239.mp2profile	SRR514306.mp2profile	SRR514329.mp2profile	TAF008.B0101.mp2profile	TAF016.B0101.mp2profile	TAF017.A0101.mp2profile	TAF018.A0101.mp2profile	VLC001.A0101.mp2profile	VLC002.A0101.mp2profile	VLC003.A0101.mp2profile	VLC004.A0101.mp2profile	VLC005.A0101.mp2profile	VLC008.A0101.mp2profile	VLC009.A0101.mp2profile	VLC010.A0101.mp2profile	VLD001.A0101.mp2profile	WAL001.A0101.mp2profile	ZAF001.A0101.mp2profile
#SampleID	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis
k__Archaea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05229	2.27849	1.22893	1.67451	0.90995	0	3.52877	0.54818	5.09209	0	0	0	0.3121	0	0	0	0	0	0	4.39959	4.69036	0.21731	50.88078	13.81709	1.45896	0.60456	5.45296	4.97707	6.07039	16.52945	11.10689	3.5226	36.84492	2.4957	1.79086	56.269	0.12896	1.12483	0	16.42996	4.36876	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.88987	0	0	0	0	0	0.07988	0.12971	0	0	0	0	37.06505	0.40696	1.15643	0	0	0	0	0	0	0.35447	0.00904	0	0	1.52811	1.88254	0	0	0	0	4.23871	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.80599	0	0	0	0	0	3.49102	6.15366	2.53559	0	0	0.06576	0.32428	0	0	0	0	0	0	0	0.31508	0	0	0	0.06046	0	0.11226	0.05135	0.40068	0	0.29129	0	1.27065	0	0	0	0	0	0.68824	24.70644	3.05151	0	5.07665	1.41563	28.04812	8.84843	0	0	0.32542	0.79386	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00294	0	0	0	3.33749	0.22544	0	0	0	0.60118	3.63083	0.01594	0.58375	0.01332	0	0	0.1994	0.16499	0.66778	0.08913	0.09746	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3387	0	0.92929	0	0.43026	0.06999	0	0.22022	0	0	0	0	1.06055	0	0.02833
k__Archaea|p__Archaea_noname	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.12968	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Archaea_noname|c__Archaea_noname	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.12968	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Archaea_noname|c__Archaea_noname|o__Archaea_noname	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.12968	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Archaea_noname|c__Archaea_noname|o__Archaea_noname|f__Archaea_noname	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.12968	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Archaea_noname|c__Archaea_noname|o__Archaea_noname|f__Archaea_noname|g__Archaea_noname	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.12968	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Archaea_noname|c__Archaea_noname|o__Archaea_noname|f__Archaea_noname|g__Archaea_noname|s__halophilic_archaeon_DL31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.12968	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Archaea_noname|c__Archaea_noname|o__Archaea_noname|f__Archaea_noname|g__Archaea_noname|s__halophilic_archaeon_DL31|t__GCF_000224475	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.12968	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05229	2.27849	1.22893	1.67451	0.90995	0	3.52877	0.54818	5.09209	0	0	0	0.3121	0	0	0	0	0	0	4.39959	4.69036	0	50.88078	13.81709	1.45896	0.60456	1.46614	1.04194	0.33429	1.45942	5.98235	1.55275	0.90444	0.71814	0.3263	0.25198	0.12896	1.12483	0	16.42996	4.36876	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.88987	0	0	0	0	0	0.07988	0.12971	0	0	0	0	37.06505	0.40696	1.15643	0	0	0	0	0	0	0.35447	0.00904	0	0	1.52811	1.88254	0	0	0	0	4.23871	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.80599	0	0	0	0	0	3.49102	6.15366	2.53559	0	0	0.06576	0.32428	0	0	0	0	0	0	0	0.31508	0	0	0	0.06046	0	0.11226	0	0.40068	0	0.29129	0	1.27065	0	0	0	0	0	0.68824	24.70644	3.05151	0	5.07665	1.41563	28.04812	8.84843	0	0	0.32542	0.79386	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00294	0	0	0	3.33749	0.22544	0	0	0	0.60118	3.63083	0.01594	0.58375	0.01332	0	0	0.1994	0.16499	0.66778	0.08913	0.09746	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3387	0	0.92929	0	0.43026	0.06999	0	0.22022	0	0	0	0	1.06055	0	0
