database	threshold	threshold_method	sample	withinfluctuationvariation_pass	Env	Host_General	Host_Genus	Study	Type
nt	50	burninwithinfluctuationSDvariation	ABM006.A0101	TRUE	Gorilla_2	Gorilla	Gorilla	This_study	Calculus
nt	50	burninwithinfluctuationSDvariation	ABM007.A0101	TRUE	Chimp_3	Chimp	Pan	This_study	Calculus
nt	50	burninwithinfluctuationSDvariation	ABM008.A0101	TRUE	Chimp_3	Chimp	Pan	This_study	Calculus
nt	50	burninwithinfluctuationSDvariation	ARS001.A0101.SG1.2	FALSE	EnvironmentalControl	EnvironmentalControl	Control	Jeong2018	NA
nt	50	burninwithinfluctuationSDvariation	ARS004.A0101.SG1.2	FALSE	EnvironmentalControl	EnvironmentalControl	Control	Jeong2018	NA
nt	50	burninwithinfluctuationSDvariation	ARS005.A0101.SG1.2	FALSE	EnvironmentalControl	EnvironmentalControl	Control	Jeong2018	NA
nt	50	burninwithinfluctuationSDvariation	ARS010.A0101.SG1.2	FALSE	EnvironmentalControl	EnvironmentalControl	Control	Jeong2018	NA
nt	50	burninwithinfluctuationSDvariation	ARS011.A0101.SG1.2	FALSE	EnvironmentalControl	EnvironmentalControl	Control	Jeong2018	NA
nt	50	burninwithinfluctuationSDvariation	ARS012.A0101.SG1.2	FALSE	EnvironmentalControl	EnvironmentalControl	Control	Jeong2018	NA
nt	50	burninwithinfluctuationSDvariation	ARS013.A0101.SG1.2	FALSE	EnvironmentalControl	EnvironmentalControl	Control	Jeong2018	NA
nt	50	burninwithinfluctuationSDvariation	ARS015.A0101.SG1.2	FALSE	EnvironmentalControl	EnvironmentalControl	Control	Jeong2018	NA
nt	50	burninwithinfluctuationSDvariation	ARS017.A0101.SG1.2	FALSE	EnvironmentalControl	EnvironmentalControl	Control	Jeong2018	NA
nt	50	burninwithinfluctuationSDvariation	ARS020.A0101.SG1.2	FALSE	EnvironmentalControl	EnvironmentalControl	Control	Jeong2018	NA
nt	50	burninwithinfluctuationSDvariation	BAN001.A0101	FALSE	Neanderthal	Neanderthal	Homo	This_study	Calculus
nt	50	burninwithinfluctuationSDvariation	BIT001.A0101	FALSE	Gorilla_3	Gorilla	Gorilla	This_study	Calculus
nt	50	burninwithinfluctuationSDvariation	BSQ001.A0101	FALSE	PreantibioticHuman_2	PreantibioticHuman	Homo	This_study	Calculus
nt	50	burninwithinfluctuationSDvariation	CDC005.A0101	FALSE	Chimp_1	Chimp	Pan	This_study	Calculus
nt	50	burninwithinfluctuationSDvariation	CDC006.A0101	FALSE	Chimp_1	Chimp	Pan	This_study	Calculus
nt	50	burninwithinfluctuationSDvariation	CDC007.A0101	FALSE	Chimp_1	Chimp	Pan	This_study	Calculus
