Taxon	Combination_Type	Combination	stat	p.value	BacDive_Data	aggregate_oxygen_tol	aggregate_gram_stain	oral_related	Genus
Campylobacter_curvus	Single	Alouatta	0.7645325829	0.002	TRUE	anaerobe/microaerophile	NA	NA	Campylobacter
Histophilus_somni	Single	Alouatta	0.6148622115	0.014	TRUE	microaerophile	NA	NA	Histophilus
Kingella_kingae	Single	Alouatta	0.6975251654	0.009	TRUE	microaerophile	NA	NA	Kingella
Streptococcus_acidominimus	Single	Alouatta	0.9444123558	0.001	TRUE	microaerophile	NA	NA	Streptococcus
Streptococcus_agalactiae	Single	Alouatta	0.8746550863	0.001	TRUE	microaerophile	NA	NA	Streptococcus
Streptococcus_gallolyticus	Single	Alouatta	0.9065310169	0.001	TRUE	microaerophile	NA	NA	Streptococcus
Streptococcus_himalayensis	Single	Alouatta	0.9854636939	0.001	TRUE	anaerobe	positive	NA	Streptococcus
Streptococcus_marmotae	Single	Alouatta	0.9867256187	0.001	TRUE	anaerobe	positive	NA	Streptococcus
Streptococcus_merionis	Single	Alouatta	0.960970758	0.001	TRUE	microaerophile	positive	NA	Streptococcus
Streptococcus_pantholopis	Single	Alouatta	0.9348790595	0.001	TRUE	anaerobe	positive	NA	Streptococcus
Streptococcus_parasanguinis	Single	Alouatta	0.8452272109	0.001	TRUE	microaerophile	NA	NA	Streptococcus
Streptococcus_parauberis	Single	Alouatta	0.5457539612	0.021	TRUE	microaerophile	NA	NA	Streptococcus
Streptococcus_pseudopneumoniae	Single	Alouatta	0.9984891793	0.001	TRUE	microaerophile	NA	NA	Streptococcus
Streptococcus_salivarius	Single	Alouatta	0.8921233396	0.001	TRUE	microaerophile	NA	NA	Streptococcus
Streptococcus_sp _A12	Single	Alouatta	0.9055097128	0.001	FALSE	NA	NA	NA	Streptococcus
Streptococcus_sp _I G2	Single	Alouatta	0.9795168237	0.001	FALSE	NA	NA	NA	Streptococcus
Streptococcus_sp _I P16	Single	Alouatta	0.972340859	0.001	FALSE	NA	NA	NA	Streptococcus
Streptococcus_suis	Single	Alouatta	0.9381658458	0.001	TRUE	anaerobe/microaerophile/aerobe	NA	NA	Streptococcus
Streptococcus_thermophilus	Single	Alouatta	0.9535159917	0.001	TRUE	microaerophile	NA	NA	Streptococcus
Tessaracoccus_aquimaris	Single	Alouatta	0.8661343629	0.001	FALSE	NA	NA	NA	Tessaracoccus
