Combination	Taxon	Software	Tax_Level
Pan	Atopobium	MALT	genus
Pan	Candidatus_Methanomethylophilus	MALT	genus
Pan	Collinsella	MALT	genus
Pan	Cryptobacterium	MALT	genus
Pan	Desulfomicrobium	MALT	genus
Pan	Eggerthella	MALT	genus
Pan	Eggerthia	MALT	genus
Pan	Filifactor	MALT	genus
Pan	Gordonibacter	MALT	genus
Pan	Lawsonella	MALT	genus
Pan	Mogibacterium	MALT	genus
Pan	Oribacterium	MALT	genus
Pan	Parabacteroides	MALT	genus
Pan	Paraeggerthella	MALT	genus
Pan	Pseudoramibacter	MALT	genus
Alouatta:Gorilla:Pan:Homo	Actinomyces	MALT	genus
Alouatta:Gorilla:Pan:Homo	Campylobacter	MALT	genus
Alouatta:Gorilla:Pan:Homo	Corynebacterium	MALT	genus
Alouatta:Gorilla:Pan:Homo	Fusobacterium	MALT	genus
Alouatta:Gorilla:Pan:Homo	Ottowia	MALT	genus
Alouatta:Gorilla:Pan:Homo	Prevotella	MALT	genus
Alouatta:Gorilla:Pan:Homo	Pseudopropionibacterium	MALT	genus
Alouatta:Gorilla:Pan:Homo	Selenomonas	MALT	genus
Alouatta:Gorilla:Pan:Homo	Streptococcus	MALT	genus
Alouatta	Actinobacillus	MALT	genus
Alouatta	Actinobaculum	MALT	genus
Alouatta	Haemophilus	MALT	genus
Alouatta	Kingella	MALT	genus
Alouatta	Pasteurella	MALT	genus
Alouatta	Rothia	MALT	genus
Alouatta	Tessaracoccus	MALT	genus
Gorilla:Pan	Anaeroglobus	MALT	genus
Gorilla:Pan	Bacteroides	MALT	genus
Gorilla:Pan	Clostridium	MALT	genus
Gorilla:Pan	Dialister	MALT	genus
Gorilla:Pan	Propionibacterium	MALT	genus
Gorilla:Pan	Slackia	MALT	genus
Pan:Homo	Eubacterium	MALT	genus
Pan:Homo	Johnsonella	MALT	genus
Pan:Homo	Parvimonas	MALT	genus
Pan:Homo	Phocaeicola	MALT	genus
Pan:Homo	Porphyromonas	MALT	genus
Pan:Homo	Treponema	MALT	genus
Alouatta:Gorilla:Homo	Aggregatibacter	MALT	genus
Alouatta:Gorilla:Homo	Cardiobacterium	MALT	genus
Alouatta:Gorilla:Homo	Eikenella	MALT	genus
Alouatta:Gorilla:Homo	Neisseria	MALT	genus
Alouatta:Homo	Gemella	MALT	genus
Alouatta:Homo	Lautropia	MALT	genus
Alouatta:Homo	Leptotrichia	MALT	genus
Gorilla:Pan:Homo	Desulfobulbus	MALT	genus
Gorilla:Pan:Homo	Olsenella	MALT	genus
Gorilla:Pan:Homo	Tannerella	MALT	genus
Homo	Abiotrophia	MALT	genus
Homo	Peptoanaerobacter	MALT	genus
Alouatta:Pan:Homo	Capnocytophaga	MALT	genus
Control	Candidatus_Kryptonium	MALT	genus
