Database	Min_Supp	Combination	Single_Pops_Dropped	Taxon	Tax_Level
nt	0.04	Alouatta	FALSE	Actinobacillus_pleuropneumoniae	species
nt	0.04	Alouatta	FALSE	Campylobacter_curvus	species
nt	0.04	Alouatta	FALSE	Capnocytophaga_sp._ChDC_OS43	species
nt	0.04	Alouatta	FALSE	Fusobacterium_sp._oral_taxon_203	species
nt	0.04	Alouatta	FALSE	Glaesserella_parasuis	species
nt	0.04	Alouatta	FALSE	Haemophilus_parainfluenzae	species
nt	0.04	Alouatta	FALSE	Histophilus_somni	species
nt	0.04	Alouatta	FALSE	Kingella_kingae	species
nt	0.04	Alouatta	FALSE	Mannheimia_haemolytica	species
nt	0.04	Alouatta	FALSE	Mannheimia_varigena	species
nt	0.04	Alouatta	FALSE	Neisseria_weaveri	species
nt	0.04	Alouatta	FALSE	Neisseria_zoodegmatis	species
nt	0.04	Alouatta	FALSE	Selenomonas_sp._oral_taxon_136	species
nt	0.04	Alouatta	FALSE	Selenomonas_sp._oral_taxon_920	species
nt	0.04	Alouatta	FALSE	Streptococcus_acidominimus	species
nt	0.04	Alouatta	FALSE	Streptococcus_dysgalactiae	species
nt	0.04	Alouatta	FALSE	Streptococcus_gallolyticus	species
nt	0.04	Alouatta	FALSE	Streptococcus_himalayensis	species
nt	0.04	Alouatta	FALSE	Streptococcus_infantarius	species
nt	0.04	Alouatta	FALSE	Streptococcus_marmotae	species
nt	0.04	Alouatta	FALSE	Streptococcus_merionis	species
nt	0.04	Alouatta	FALSE	Streptococcus_pantholopis	species
nt	0.04	Alouatta	FALSE	Streptococcus_pseudopneumoniae	species
nt	0.04	Alouatta	FALSE	Streptococcus_pyogenes	species
nt	0.04	Alouatta	FALSE	Streptococcus_salivarius	species
nt	0.04	Alouatta	FALSE	Streptococcus_sp._A12	species
nt	0.04	Alouatta	FALSE	Streptococcus_sp._I-G2	species
nt	0.04	Alouatta	FALSE	Streptococcus_sp._I-P16	species
nt	0.04	Alouatta	FALSE	Streptococcus_sp._NPS_308	species
nt	0.04	Alouatta	FALSE	Streptococcus_sp._oral_taxon_064	species
nt	0.04	Alouatta	FALSE	Streptococcus_sp._oral_taxon_431	species
nt	0.04	Alouatta	FALSE	Streptococcus_sp._VT_162	species
nt	0.04	Alouatta	FALSE	Streptococcus_thermophilus	species
nt	0.04	Alouatta	FALSE	Tessaracoccus_aquimaris	species
nt	0.04	Alouatta	FALSE	Tessaracoccus_flavescens	species
nt	0.04	Alouatta	FALSE	Tessaracoccus_flavus	species
nt	0.04	Alouatta	FALSE	Tessaracoccus_sp._T2.5-30	species
nt	0.04	Alouatta	FALSE	Veillonella_rodentium	species
nt	0.04	Pan	FALSE	[Eubacterium]_sulci	species
nt	0.04	Pan	FALSE	Adlercreutzia_equolifaciens	species
nt	0.04	Pan	FALSE	Atopobium_parvulum	species
nt	0.04	Pan	FALSE	Bacteroides_fragilis	species
nt	0.04	Pan	FALSE	Candidatus_Methanomethylophilus_alvus	species
nt	0.04	Pan	FALSE	Clostridioides_difficile	species
nt	0.04	Pan	FALSE	Coriobacteriaceae_bacterium_68-1-3	species
nt	0.04	Pan	FALSE	Cryptobacterium_curtum	species
nt	0.04	Pan	FALSE	Desulfobulbus_propionicus	species
nt	0.04	Pan	FALSE	Dialister_pneumosintes	species
nt	0.04	Pan	FALSE	Eggerthella_lenta	species
nt	0.04	Pan	FALSE	Faecalibacterium_prausnitzii	species
nt	0.04	Pan	FALSE	Fermentimonas_caenicola	species
nt	0.04	Pan	FALSE	Gordonibacter_massiliensis	species
nt	0.04	Pan	FALSE	Gordonibacter_pamelaeae	species
nt	0.04	Pan	FALSE	Gordonibacter_urolithinfaciens	species
nt	0.04	Pan	FALSE	Lawsonella_clevelandensis	species
nt	0.04	Pan	FALSE	Libanicoccus_massiliensis	species
nt	0.04	Pan	FALSE	methanogenic_archaeon_ISO4-H5	species
nt	0.04	Pan	FALSE	methanogenic_archaeon_mixed_culture_ISO4-G1	species
nt	0.04	Pan	FALSE	Murdochiella_vaginalis	species
nt	0.04	Pan	FALSE	Olsenella_sp._Marseille-P2300	species
nt	0.04	Pan	FALSE	Olsenella_umbonata	species
nt	0.04	Pan	FALSE	Prevotella_dentalis	species
nt	0.04	Pan	FALSE	Prevotella_denticola	species
nt	0.04	Pan	FALSE	Prevotella_enoeca	species
nt	0.04	Pan	FALSE	Pyramidobacter_piscolens	species
nt	0.04	Pan	FALSE	Slackia_heliotrinireducens	species
nt	0.04	Pan	FALSE	Thermoplasmatales_archaeon_BRNA1	species
nt	0.04	Pan	FALSE	Treponema_pedis	species
nt	0.04	Pan	FALSE	Treponema_putidum	species
nt	0.04	Alouatta:Gorilla	FALSE	[Mannheimia]_succiniciproducens	species
nt	0.04	Alouatta:Gorilla	FALSE	Acidipropionibacterium_acidipropionici	species
nt	0.04	Alouatta:Gorilla	FALSE	Actinobacillus_succinogenes	species
nt	0.04	Alouatta:Gorilla	FALSE	Aggregatibacter_actinomycetemcomitans	species
nt	0.04	Alouatta:Gorilla	FALSE	Haemophilus_influenzae	species
nt	0.04	Alouatta:Gorilla	FALSE	Haemophilus_pittmaniae	species
nt	0.04	Alouatta:Gorilla	FALSE	Neisseria_gonorrhoeae	species
nt	0.04	Alouatta:Gorilla	FALSE	Neisseria_lactamica	species
nt	0.04	Alouatta:Gorilla	FALSE	Neisseria_sp._10022	species
nt	0.04	Alouatta:Gorilla	FALSE	Neisseria_sp._10023	species
nt	0.04	Alouatta:Gorilla	FALSE	Neisseria_sp._KEM232	species
nt	0.04	Alouatta:Gorilla	FALSE	Pasteurella_multocida	species
nt	0.04	Alouatta:Gorilla	FALSE	Pasteurellaceae_bacterium_NI1060	species
nt	0.04	Alouatta:Gorilla	FALSE	Rothia_aeria	species
nt	0.04	Alouatta:Gorilla	FALSE	Rothia_dentocariosa	species
nt	0.04	Alouatta:Gorilla	FALSE	Rothia_mucilaginosa	species
nt	0.04	Alouatta:Gorilla	FALSE	Selenomonas_sp._oral_taxon_126	species
nt	0.04	Alouatta:Gorilla	FALSE	Streptococcus_agalactiae	species
nt	0.04	Alouatta:Gorilla	FALSE	Streptococcus_mitis	species
nt	0.04	Alouatta:Gorilla	FALSE	Streptococcus_mutans	species
nt	0.04	Alouatta:Gorilla	FALSE	Streptococcus_parasanguinis	species
nt	0.04	Alouatta:Gorilla	FALSE	Streptococcus_suis	species
nt	0.04	Alouatta:Gorilla	FALSE	Streptococcus_troglodytae	species
nt	0.04	Alouatta:Gorilla:Pan:Homo	FALSE	Actinomyces_naeslundii	species
nt	0.04	Alouatta:Gorilla:Pan:Homo	FALSE	Actinomyces_oris	species
nt	0.04	Alouatta:Gorilla:Pan:Homo	FALSE	Actinomyces_radicidentis	species
nt	0.04	Alouatta:Gorilla:Pan:Homo	FALSE	Actinomyces_sp._Chiba101	species
