Min_Supp	Tax_Level	Taxon	nt	refseq	Match
0.04	species	[Eubacterium]_brachy	DidNotPassPrevalenceThreshold	Alouatta:Pan	DidNotPassPrevalenceThreshold
0.04	species	[Eubacterium]_infirmum	DidNotPassPrevalenceThreshold	Pan	DidNotPassPrevalenceThreshold
0.04	species	[Eubacterium]_minutum	Pan:Homo	Pan:Homo	TRUE
0.04	species	[Eubacterium]_sulci	Pan	DidNotPassPrevalenceThreshold	DidNotPassPrevalenceThreshold
0.04	species	[Mannheimia]_succiniciproducens	Alouatta:Gorilla	DidNotPassPrevalenceThreshold	DidNotPassPrevalenceThreshold
0.04	species	Abiotrophia_defectiva	DidNotPassPrevalenceThreshold	Homo	DidNotPassPrevalenceThreshold
0.04	species	Abiotrophia_sp._HMSC24B09	DidNotPassPrevalenceThreshold	Homo	DidNotPassPrevalenceThreshold
0.04	species	Acidipropionibacterium_acidipropionici	Alouatta:Gorilla	DidNotPassPrevalenceThreshold	DidNotPassPrevalenceThreshold
0.04	species	Actinobacillus_pleuropneumoniae	Alouatta	DidNotPassPrevalenceThreshold	DidNotPassPrevalenceThreshold
0.04	species	Actinobacillus_succinogenes	Alouatta:Gorilla	DidNotPassPrevalenceThreshold	DidNotPassPrevalenceThreshold
0.04	species	Actinobaculum_sp._oral_taxon_183	DidNotPassPrevalenceThreshold	Alouatta	DidNotPassPrevalenceThreshold
0.04	species	Actinomyces_cardiffensis	DidNotPassPrevalenceThreshold	Pan:Homo	DidNotPassPrevalenceThreshold
0.04	species	Actinomyces_culturomici	DidNotPassPrevalenceThreshold	Gorilla:Pan	DidNotPassPrevalenceThreshold
0.04	species	Actinomyces_dentalis	DidNotPassPrevalenceThreshold	Alouatta:Gorilla:Pan:Homo	DidNotPassPrevalenceThreshold
0.04	species	Actinomyces_georgiae	DidNotPassPrevalenceThreshold	Pan	DidNotPassPrevalenceThreshold
0.04	species	Actinomyces_gerencseriae	DidNotPassPrevalenceThreshold	Alouatta:Gorilla:Pan:Homo	DidNotPassPrevalenceThreshold
0.04	species	Actinomyces_hongkongensis	Gorilla:Pan:Homo	DidNotPassPrevalenceThreshold	DidNotPassPrevalenceThreshold
0.04	species	Actinomyces_israelii	DidNotPassPrevalenceThreshold	Alouatta:Gorilla:Pan:Homo	DidNotPassPrevalenceThreshold
0.04	species	Actinomyces_johnsonii	DidNotPassPrevalenceThreshold	Alouatta:Gorilla:Homo	DidNotPassPrevalenceThreshold
0.04	species	Actinomyces_massiliensis	DidNotPassPrevalenceThreshold	Alouatta:Gorilla:Pan:Homo	DidNotPassPrevalenceThreshold
0.04	species	Actinomyces_meyeri	Gorilla:Pan:Homo	DidNotPassPrevalenceThreshold	DidNotPassPrevalenceThreshold
0.04	species	Actinomyces_naeslundii	Alouatta:Gorilla:Pan:Homo	Alouatta:Gorilla:Pan:Homo	TRUE
0.04	species	Actinomyces_odontolyticus	DidNotPassPrevalenceThreshold	Pan:Homo	DidNotPassPrevalenceThreshold
0.04	species	Actinomyces_oris	Alouatta:Gorilla:Pan:Homo	Alouatta:Gorilla:Pan:Homo	TRUE
0.04	species	Actinomyces_radicidentis	Alouatta:Gorilla:Pan:Homo	Pan	FALSE
0.04	species	Actinomyces_ruminicola	DidNotPassPrevalenceThreshold	Alouatta:Gorilla:Pan:Homo	DidNotPassPrevalenceThreshold
0.04	species	Actinomyces_slackii	DidNotPassPrevalenceThreshold	Alouatta	DidNotPassPrevalenceThreshold
0.04	species	Actinomyces_sp._Chiba101	Alouatta:Gorilla:Pan:Homo	DidNotPassPrevalenceThreshold	DidNotPassPrevalenceThreshold
0.04	species	Actinomyces_sp._oral_taxon_170	DidNotPassPrevalenceThreshold	Alouatta:Gorilla:Pan:Homo	DidNotPassPrevalenceThreshold
0.04	species	Actinomyces_sp._oral_taxon_171	DidNotPassPrevalenceThreshold	Alouatta:Gorilla	DidNotPassPrevalenceThreshold
0.04	species	Actinomyces_sp._oral_taxon_414	Alouatta:Gorilla:Pan:Homo	Alouatta:Gorilla:Pan:Homo	TRUE
0.04	species	Actinomyces_sp._oral_taxon_448	DidNotPassPrevalenceThreshold	Alouatta:Gorilla:Pan	DidNotPassPrevalenceThreshold
0.04	species	Actinomyces_sp._oral_taxon_849	DidNotPassPrevalenceThreshold	Gorilla	DidNotPassPrevalenceThreshold
0.04	species	Actinomyces_succiniciruminis	Alouatta:Gorilla:Pan:Homo	DidNotPassPrevalenceThreshold	DidNotPassPrevalenceThreshold
0.04	species	Adlercreutzia_equolifaciens	Pan	DidNotPassPrevalenceThreshold	DidNotPassPrevalenceThreshold
0.04	species	Aggregatibacter_actinomycetemcomitans	Alouatta:Gorilla	Alouatta:Gorilla	TRUE
0.04	species	Aggregatibacter_aphrophilus	Alouatta:Gorilla:Homo	Alouatta:Gorilla	FALSE
