Genus	Automated Selection	Visual Selection	Final Selection
Actinomyces	Actinomyces dentalis DSM 19115	Actinomyces dentalis DSM 19115	Actinomyces dentalis DSM 19115
Campylobacter	Campylobacter gracilis*	Campylobacter gracilis	Campylobacter gracilis
Capnocytophaga	Capnocytophaga gingivalis ATCC 33624	Capnocytophaga gingivalis ATCC 33624	Capnocytophaga gingivalis ATCC 33624
Corynebacterium	Corynebacterium matruchotii ATCC 14266	Corynebacterium matruchotii ATCC 14266/Corynebacterium durum F0235	Corynebacterium matruchotii ATCC 14266
Fretibacterium	Fretibacterium fastidiosum	Fretibacterium fastidiosum	Fretibacterium fastidiosum
Fusobacterium	Fusobacterium hwasookii ChDC F206	Unsure	Fusobacterium hwasookii ChDC F206
Olsenella	Olsenella sp. oral taxon 807	Olsenella sp. oral taxon 807	Olsenella sp. oral taxon 807
Ottowia	Ottowia sp. oral taxon 894	Ottowia sp. oral taxon 894	Ottowia sp. oral taxon 894
Porpyromonas	Porphyromonas gingivalis ATCC 33277	Porphyromonas gingivalis ATCC 33277	Porphyromonas gingivalis ATCC 33277
Prevotella	Prevotella loescheii DSM 19665 = JCM 12249 = ATCC 15930	Prevotella loescheii DSM 19665 = JCM 12249 = ATCC 15930	Prevotella loescheii DSM 19665 = JCM 12249 = ATCC 15930
Pseudopropionibacterium	Pseudopropionibacterium propionicum F0230a	Pseudopropionibacterium propionicum F0230a	Pseudopropionibacterium propionicum F0230a
Selenomonas	Selenomonas sp. F0473	Unsure	Selenomonas sp. F0473
Streptococcus	Streptococcus sanguinis SK36	Streptococcus sanguinis SK36	Streptococcus sanguinis SK36
Tannerella	Tannerella forsythia 92A2	Tannerella forsythia 92A2	Tannerella forsythia 92A2
Treponema	Treponema socranskii subsp. paredis ATCC 35535	Treponema socranskii subsp. paredis ATCC 35535	Treponema socranskii subsp. paredis ATCC 35535
