Group	Specimen Sample Code (Arch.)	Individual (Arch)	Screening Lib. ID	Screening Lib.ENA Run Accession	Screening Stranding	Screening Treatment	Screening Instrument	Screening Seq Date	Screening Pairing	Screening Length	Screening Raw Reads	Screening Resequencing  Lib. ID	Screening Resequencing  Lib. ENA Run Accession	Screening Resequencing Instrument	Screening Resequencing  Date	Screening Resequencing Pairing	Screening Resequencing  Length	Screening Resequencing  Raw Reads	Production Lib. ID	Production Lib. ENA Run Accession	Production Stranding	Production Treatment	Production Instrument	Production Seq Date	Production Pairing	Production Length	Production Raw Reads	Production ENA Accession	Production Resequencing Lib. ID	Production Resequencing Lib. ENA run accession	Production Resequencing Instrument	Production Resequencing  Date	Production Resequencing Pairing	Production Resequencing  Length	Production Resequencing  Raw Reads	Production Resequencing Lib. ENA Accession
Gorilla_2	HTB-2795	HTB-2795	ABM006.A0101	ERR3579699	Double-Stranded	no-UDG	NextSeq 500	170823	Paired-end	76	21040716	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chimp_3	HTB-2001	HTB-2001	ABM007.A0101	ERR3579701	Double-Stranded	no-UDG	NextSeq 500	171114	Paired-end	76	9498152	ABM007.A0101.171215	ERR3579700	NextSeq 500	171215	Paired-end	76	19584634	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chimp_3	HTB-2804	HTB-2804	ABM008.A0101	ERR3579703	Double-Stranded	no-UDG	NextSeq 500	171114	Paired-end	76	6056962	ABM008.A0101.171215	ERR3579702	NextSeq 500	171215	Paired-end	76	2900281	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Neanderthal	NA	NA	BAN001.A0101	ERR3579704	Double-Stranded	no-UDG	NextSeq 500	170823	Paired-end	76	21382118	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gorilla_3	86.044-M-0003	86.044-M-0003	BIT001.A0101	ERR3579706	Double-Stranded	no-UDG	NextSeq 500	171114	Paired-end	76	16284740	BIT001.A0101.171215	ERR3579705	NextSeq 500	171215	Paired-end	76	34456694	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PreantibioticHuman_1	v1983	v1983	BSQ001.A0101	ERR3579707	Double-Stranded	no-UDG	NextSeq 500	171114	Paired-end	76	23192334	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chimp_1	SMF-PA-PC-071	SMF-PA-PC-071	CDC005.A0101	ERR3579671	Double-Stranded	no-UDG	HiSeq 4000	161220	Single-end	76	1993872	CDC005.A0101.170817	ERR3678173	NextSeq 500	170817	Paired-end	76	5337800	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chimp_1	SMF-PA-PC-081	SMF-PA-PC-081	CDC006.A0101	ERR3579708	Double-Stranded	no-UDG	NextSeq 500	170823	Paired-end	76	34994338	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chimp_1	SMF-PA-PC-084	SMF-PA-PC-084	CDC007.A0101	ERR3579709	Double-Stranded	no-UDG	NextSeq 500	170823	Paired-end	76	40118406	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chimp_1	SMF-PA-PC-091	SMF-PA-PC-091	CDC008.A0101	ERR3579710	Double-Stranded	no-UDG	NextSeq 500	170823	Paired-end	76	34982516	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chimp_1	SMF-PA-PC-099	SMF-PA-PC-099	CDC009.A0101	ERR3579711	Double-Stranded	no-UDG	NextSeq 500	170823	Paired-end	76	31117538	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chimp_1	SMF-PA-PC-115	SMF-PA-PC-115	CDC010.A0101	ERR3579712	Double-Stranded	no-UDG	NextSeq 500	170823	Paired-end	76	35582078	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chimp_1	SMF-PA-PC-117	SMF-PA-PC-117	CDC011.A0101	ERR3579672	Double-Stranded	no-UDG	HiSeq 4000	161220	Single-end	76	4063605	CDC011.A0101.170817	ERR3678174	NextSeq 500	170817	Paired-end	76	10644960	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gorilla_2	HTB-3415	HTB-3415	DJA002.A0101	ERR3579713	Double-Stranded	no-UDG	NextSeq 500	170823	Paired-end	76	30118344	NA	NA	NA	NA	NA	NA	NA	DJA002.A0102.SG1.1	ERR3579714	Double-Stranded	full-UDG	NextSeq 500	181018	Paired-end	76	145419258	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chimp_3	HTB-3537	HTB-3537	DJA006.A0101	ERR3579716	Double-Stranded	no-UDG	NextSeq 500	171114	Paired-end	76	8762614	DJA006.A0101.171215	ERR3579715	NextSeq 500	171215	Paired-end	76	24221230	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chimp_3	HTB-3538	HTB-3538	DJA007.A0101	ERR3579718	Double-Stranded	no-UDG	NextSeq 500	171114	Paired-end	76	13066884	DJA007.A0101.171215	ERR3579717	NextSeq 500	171215	Paired-end	76	26378280	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PreagriculturalHuman_2	Dolni Vestonice 16	NA	DLV001.A0101	ERR3579719	Double-Stranded	no-UDG	NextSeq 500	171114	Paired-end	76	13529482	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PreagriculturalHuman_2	Dolni Vestonice 15	NA	DLV002.A0101	ERR3579720	Double-Stranded	no-UDG	NextSeq 500	171114	Paired-end	76	159310	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
