Mapping Strategy	Genus	Reference	Sample	SNP Calls (all)	SNP Calls (het)	Percentage Polymorphic over All
superreference_mapping	Actinomyces	Actinomyces	OME002	1844	348	18.87
superreference_mapping	Campylobacter	Campylobacter	OME002	711	7	0.98
superreference_mapping	Capnocytophaga	Capnocytophaga	OME002	7854	175	2.23
superreference_mapping	Corynebacterium	Corynebacterium	OME002	339	17	5.01
superreference_mapping	Fretibacterium	Fretibacterium	OME002	221	53	23.98
superreference_mapping	Fusobacterium	Fusobacterium	OME002	1288	98	7.61
superreference_mapping	Olsenella	Olsenella	OME002	171	14	8.19
superreference_mapping	Ottowia	Ottowia	OME002	13413	6171	46.01
superreference_mapping	Porphyromonas	Porphyromonas	OME002	1448	31	2.14
superreference_mapping	Prevotella	Prevotella	OME002	7	0	0.00
superreference_mapping	Pseudopropionibacterium	Pseudopropionibacterium	OME002	21147	1502	7.10
superreference_mapping	Selenomonas	Selenomonas	OME002	12119	714	5.89
superreference_mapping	Streptococcus	Streptococcus	OME002	817	60	7.34
superreference_mapping	Tannerella	Tannerella	OME002	1133	173	15.27
superreference_mapping	Treponema	Treponema	OME002	17553	23	0.13
initial_single_genome	Actinomyces	Actinomyces_dentalis_DSM_19115	OME002	34446	14616	42.43
initial_single_genome	Campylobacter	Campylobacter_gracilis	OME002	853	33	3.87
initial_single_genome	Capnocytophaga	Capnocytophaga_gingivalis_ATCC_33624	OME002	22905	461	2.01
initial_single_genome	Corynebacterium	Corynebacterium_matruchotii_ATCC_14266	OME002	2306	347	15.05
initial_single_genome	Fretibacterium	Fretibacterium_fastidiosum	OME002	221	53	23.98
initial_single_genome	Fusobacterium	Fusobacterium_hwasookii_ChDC_F206	OME002	9411	1113	11.83
initial_single_genome	Olsenella	Olsenella_sp_oral_taxon_807	OME002	664	96	14.46
initial_single_genome	Ottowia	Ottowia_sp_oral_taxon_894	OME002	43792	25526	58.29
initial_single_genome	Porphyromonas	Porphyromonas_gingivalis_ATCC_33277	OME002	26469	853	3.22
initial_single_genome	Prevotella	Prevotella_loescheii_DSM_19665_JCM_12249_ATCC_15930	OME002	347	103	29.68
initial_single_genome	Pseudopropionibacterium	Pseudopropionibacterium_propionicum_F0230a	OME002	22571	2097	9.29
initial_single_genome	Selenomonas	Selenomonas_sp_F0473	OME002	15683	1853	11.82
initial_single_genome	Streptococcus	Streptococcus_gordonii_str_Challis_substr_CH1	OME002	4837	495	10.23
initial_single_genome	Streptococcus	Streptococcus_sanguinis_SK36	OME002	6647	730	10.98
initial_single_genome	Tannerella	Tannerella_forsythia_92A2	OME002	1254	209	16.67
initial_single_genome	Treponema	Treponema_socranskii_subsp_paredis_ATCC_35535	OME002	17845	30	0.17
superreference_mapping	Actinomyces	Actinomyces	OME003	1196	159	13.29
superreference_mapping	Campylobacter	Campylobacter	OME003	1789	39	2.18
superreference_mapping	Capnocytophaga	Capnocytophaga	OME003	6271	114	1.82
superreference_mapping	Corynebacterium	Corynebacterium	OME003	131	12	9.16
superreference_mapping	Fretibacterium	Fretibacterium	OME003	185	51	27.57
superreference_mapping	Fusobacterium	Fusobacterium	OME003	2148	186	8.66
superreference_mapping	Olsenella	Olsenella	OME003	102	3	2.94
superreference_mapping	Ottowia	Ottowia	OME003	14104	6353	45.04
superreference_mapping	Porphyromonas	Porphyromonas	OME003	2570	106	4.12
superreference_mapping	Prevotella	Prevotella	OME003	17	0	0.00
superreference_mapping	Pseudopropionibacterium	Pseudopropionibacterium	OME003	19826	550	2.77
superreference_mapping	Selenomonas	Selenomonas	OME003	8413	709	8.43
superreference_mapping	Streptococcus	Streptococcus	OME003	764	18	2.36
superreference_mapping	Tannerella	Tannerella	OME003	1122	42	3.74
superreference_mapping	Treponema	Treponema	OME003	25428	43	0.17
initial_single_genome	Actinomyces	Actinomyces_dentalis_DSM_19115	OME003	25891	9773	37.75
initial_single_genome	Campylobacter	Campylobacter_gracilis	OME003	2052	71	3.46
initial_single_genome	Capnocytophaga	Capnocytophaga_gingivalis_ATCC_33624	OME003	19018	313	1.65
initial_single_genome	Corynebacterium	Corynebacterium_matruchotii_ATCC_14266	OME003	1124	203	18.06
initial_single_genome	Fretibacterium	Fretibacterium_fastidiosum	OME003	185	51	27.57
initial_single_genome	Fusobacterium	Fusobacterium_hwasookii_ChDC_F206	OME003	14102	2131	15.11
initial_single_genome	Olsenella	Olsenella_sp_oral_taxon_807	OME003	560	62	11.07
initial_single_genome	Ottowia	Ottowia_sp_oral_taxon_894	OME003	44706	24628	55.09
initial_single_genome	Porphyromonas	Porphyromonas_gingivalis_ATCC_33277	OME003	41681	399	0.96
initial_single_genome	Prevotella	Prevotella_loescheii_DSM_19665_JCM_12249_ATCC_15930	OME003	463	105	22.68
initial_single_genome	Pseudopropionibacterium	Pseudopropionibacterium_propionicum_F0230a	OME003	20956	882	4.21
initial_single_genome	Selenomonas	Selenomonas_sp_F0473	OME003	11630	1729	14.87
initial_single_genome	Streptococcus	Streptococcus_gordonii_str_Challis_substr_CH1	OME003	4966	198	3.99
initial_single_genome	Streptococcus	Streptococcus_sanguinis_SK36	OME003	6435	327	5.08
initial_single_genome	Tannerella	Tannerella_forsythia_92A2	OME003	1282	85	6.63
initial_single_genome	Treponema	Treponema_socranskii_subsp_paredis_ATCC_35535	OME003	25846	61	0.24
superreference_mapping	Actinomyces	Actinomyces	OME005	1721	210	12.20
superreference_mapping	Campylobacter	Campylobacter	OME005	615	2	0.33
superreference_mapping	Capnocytophaga	Capnocytophaga	OME005	6481	102	1.57
superreference_mapping	Corynebacterium	Corynebacterium	OME005	58	4	6.90
superreference_mapping	Fretibacterium	Fretibacterium	OME005	186	38	20.43
superreference_mapping	Fusobacterium	Fusobacterium	OME005	1680	109	6.49
superreference_mapping	Olsenella	Olsenella	OME005	46	3	6.52
superreference_mapping	Ottowia	Ottowia	OME005	14309	818	5.72
superreference_mapping	Porphyromonas	Porphyromonas	OME005	259	1	0.39
superreference_mapping	Prevotella	Prevotella	OME005	8	0	0.00
superreference_mapping	Pseudopropionibacterium	Pseudopropionibacterium	OME005	28614	469	1.64
superreference_mapping	Selenomonas	Selenomonas	OME005	15064	1284	8.52
superreference_mapping	Streptococcus	Streptococcus	OME005	1138	39	3.43
superreference_mapping	Tannerella	Tannerella	OME005	188	8	4.26
superreference_mapping	Treponema	Treponema	OME005	31	4	12.90
initial_single_genome	Actinomyces	Actinomyces_dentalis_DSM_19115	OME005	23620	8822	37.35
initial_single_genome	Campylobacter	Campylobacter_gracilis	OME005	776	35	4.51
initial_single_genome	Capnocytophaga	Capnocytophaga_gingivalis_ATCC_33624	OME005	19063	297	1.56
initial_single_genome	Corynebacterium	Corynebacterium_matruchotii_ATCC_14266	OME005	683	177	25.92
initial_single_genome	Fretibacterium	Fretibacterium_fastidiosum	OME005	186	38	20.43
initial_single_genome	Fusobacterium	Fusobacterium_hwasookii_ChDC_F206	OME005	14030	2994	21.34
initial_single_genome	Olsenella	Olsenella_sp_oral_taxon_807	OME005	253	42	16.60
initial_single_genome	Ottowia	Ottowia_sp_oral_taxon_894	OME005	35868	1777	4.95
initial_single_genome	Porphyromonas	Porphyromonas_gingivalis_ATCC_33277	OME005	694	16	2.31
initial_single_genome	Prevotella	Prevotella_loescheii_DSM_19665_JCM_12249_ATCC_15930	OME005	163	71	43.56
initial_single_genome	Pseudopropionibacterium	Pseudopropionibacterium_propionicum_F0230a	OME005	29924	785	2.62
initial_single_genome	Selenomonas	Selenomonas_sp_F0473	OME005	18280	2553	13.97
initial_single_genome	Streptococcus	Streptococcus_gordonii_str_Challis_substr_CH1	OME005	6425	269	4.19
initial_single_genome	Streptococcus	Streptococcus_sanguinis_SK36	OME005	8446	445	5.27
initial_single_genome	Tannerella	Tannerella_forsythia_92A2	OME005	249	32	12.85
initial_single_genome	Treponema	Treponema_socranskii_subsp_paredis_ATCC_35535	OME005	55	7	12.73
superreference_mapping	Actinomyces	Actinomyces	DJA002	41845	7672	18.33
superreference_mapping	Campylobacter	Campylobacter	DJA002	37920	10059	26.53
superreference_mapping	Capnocytophaga	Capnocytophaga	DJA002	81	28	34.57
superreference_mapping	Corynebacterium	Corynebacterium	DJA002	340	5	1.47
superreference_mapping	Fretibacterium	Fretibacterium	DJA002	45240	12904	28.52
superreference_mapping	Fusobacterium	Fusobacterium	DJA002	2476	224	9.05
