Species	Virulence_factor	Locus_tag	Old_Locus_Tag
Tannerella_forsythia	BspA	BFO_RS14345	BFO_0833
Tannerella_forsythia	WecC	BFO_RS04595	BFO_1051
Tannerella_forsythia	SiaHI	BFO_RS05255	BFO_1210
Tannerella_forsythia	TfsB	BFO_RS07215	BFO_1652
Tannerella_forsythia	HexA	BFO_RS08365	BFO_1923
Tannerella_forsythia	NanH	BFO_RS09605	BFO_2207
Tannerella_forsythia	SusB	BFO_RS09855	BFO_2272
Tannerella_forsythia	TfsA	BFO_RS07205	NA
Porphyromonas_gingivalis	FimA	PGN_RS00835	PGN_0180
Porphyromonas_gingivalis	Mfa1	PGN_RS01375	PGN_0287
Porphyromonas_gingivalis	Mfa2	PGN_RS01380	PGN_0288
Porphyromonas_gingivalis	Mfa3	PGN_RS01385	PGN_0289
Porphyromonas_gingivalis	HagA	PGN_RS05340	PGN_1115
Porphyromonas_gingivalis	RgpB	PGN_RS07000	PGN_1466
Porphyromonas_gingivalis	Kgp	PGN_RS08215	PGN_1728
Porphyromonas_gingivalis	RgpA	PGN_RS09325	PGN_1970
