HUMAnN2 pathways,HUMAnN2 KEGG orthologs,AADDER/SEED
BAN001,TAF016,DLV002
BIT001,BAN001,KNP004
BSQ001,ECO006,TAF016
CDC007,GUE001,BAN001
ECO006,SpyNew,DLV001
ECO010,BSQ001,SpyNew
FDM001,VLD001,ECO010
FUM003,CDC007,ECO006
GDC002,SPM001,GUE001
GDC004,SpyOld,SPM001
GDC005,MTM012,CDC007
GUE001,MTM003,WAL001
IBA001,MTS001,LOB001
IBA002,MTM013,BIT001
LOB001,DLV002,MTM013
MTM002,,MTS003
MTM003,,MTM006
MTM006,,FUM003
MTM011,,MTM012
MTM012,,MTM003
MTM013,,IBA002
MTS001,,OAK001
MTS002,,MTM002
MTS003,,SPM002
OAK001,,CDC005
SPM001,,OAK001
SpyNew,,DJA006
SpyOld,,MTM009
WAL001,,BSQ001
ZAF001,,ZAF001
