#SampleID	BarcodeSequence	LinkerPrimerSequence	Study	Accession_ID	SourceSink	Env	Description	Host_General	Host_Genus	Host_Common	Code	Is_Oral	Age	Location	Site	ToothSource	Type	LabProtocol	ScreeningDeepData	NCBI Project ID	individual_id	SumSampleWeight_mg	SumExtractionConcentration_ng_ul	SumLibraryConcentration_copies_ul	Sample_or_Control	Individual_Seq_Depth	Individual_Seq_Depth_NonHuman	Percentage_Hits	Percentage_Hits_with_Taxonomy	Min_Support_Reads_Threshold_MALT	Min_Support_Reads_Threshold_MALT_refseq	Min_Support_Reads_Threshold_MP2
CDC005.A0101	NA	NA	This_study	NA	sink	Chimp_1	Pan_troglodytes	Chimp	Pan	Pan	PA1	Calculus	Historical	Liberia	Unknown	Multiple	Calculus	B.2	Screening	NA	CDC005	0	0	99490750	Sample	4550438	4526782	16.21432179	16.2116709	73	104	21
CDC006.A0101	NA	NA	This_study	NA	sink	Chimp_1	Pan_troglodytes	Chimp	Pan	Pan	PA1	Calculus	Historical	Liberia	Unknown	Premolar	Calculus	B.3	Screening	NA	CDC006	0	0.452	189500000	Sample	15210915	15120313	20.64543241	20.63291944	312	473	113
CDC007.A0101	NA	NA	This_study	NA	sink	Chimp_1	Pan_troglodytes	Chimp	Pan	Pan	PA1	Calculus	Historical	Liberia	Unknown	Multiple	Calculus	B.3	Screening	NA	CDC007	0	0.129	26650000	Sample	15965860	15878673	16.57129661	16.56509962	263	377	100
CDC008.A0101	NA	NA	This_study	NA	sink	Chimp_1	Pan_troglodytes	Chimp	Pan	Pan	PA1	Calculus	Historical	Liberia	Unknown	Molar	Calculus	B.3	Screening	NA	CDC008	0	0.104	21600000	Sample	15191052	15094966	12.7285613	12.7283758	192	257	74
CDC009.A0101	NA	NA	This_study	NA	sink	Chimp_1	Pan_troglodytes	Chimp	Pan	Pan	PA1	Calculus	Historical	Liberia	Unknown	Multiple	Calculus	B.3	Screening	NA	CDC009	0	2.38	142600000	Sample	14434761	14286106	11.02805761	11.02787562	157	234	63
CDC010.A0101	NA	NA	This_study	NA	sink	Chimp_1	Pan_troglodytes	Chimp	Pan	Pan	PA1	Calculus	Historical	Liberia	Unknown	Premolar	Calculus	B.3	Screening	NA	CDC010	0	0.1	17840000	Sample	15143701	15031925	16.27305219	16.27283265	244	369	95
CDC011.A0101	NA	NA	This_study	NA	sink	Chimp_1	Pan_troglodytes	Chimp	Pan	Pan	PA1	Calculus	Historical	Liberia	Unknown	Multiple	Calculus	B.2	Screening	NA	CDC011	0	0	176300000	Sample	9180039	9141614	17.90396094	17.90373122	163	264	57
KNP001.A0102	NA	NA	This_study	NA	sink	Chimp_2	Pan_troglodytes	Chimp	Pan	Pan	PA2	Calculus	Historical	Uganda	Kibale National Park	Molar	Calculus	A.1	Both	NA	KNP001	12.4	43.35483871	6934000000	Sample	94897020	16260023	16.79325423	16.79299593	273	475	154
KNP003.A0102	NA	NA	This_study	NA	sink	Chimp_2	Pan_troglodytes	Chimp	Pan	Pan	PA2	Calculus	Historical	Uganda	Kibale National Park	Molar	Calculus	A.1	Screening	NA	KNP003	3.3	157.0909091	3244000000	Sample	16902026	10394445	20.17430464	20.17412185	209	345	93
KNP004.A0102	NA	NA	This_study	NA	sink	Chimp_2	Pan_troglodytes	Chimp	Pan	Pan	PA2	Calculus	Historical	Uganda	Kibale National Park	Incisor	Calculus	A.1	Both	NA	KNP004	1.7	59.29411765	10620000000	Sample	10425696	184494	18.9534619	18.95075179	3	6	1
KNP005.A0102	NA	NA	This_study	NA	sink	Chimp_2	Pan_troglodytes	Chimp	Pan	Pan	PA2	Calculus	Historical	Uganda	Kibale National Park	Multiple	Calculus	A.1	Both	NA	KNP005	13.1	22.71755725	3601000000	Sample	188197	11095033	16.02984867	16.0294521	177	296	100
KNP006.A0102	NA	NA	This_study	NA	sink	Chimp_2	Pan_troglodytes	Chimp	Pan	Pan	PA2	Calculus	Historical	Uganda	Kibale National Park	Multiple	Calculus	A.1	Screening	NA	KNP006	4.4	15	1482000000	Sample	11286072	11159677	21.66379009	21.66355711	241	357	101
KNP007.A0102	NA	NA	This_study	NA	sink	Chimp_2	Pan_troglodytes	Chimp	Pan	Pan	PA2	Calculus	Historical	Uganda	Kibale National Park	Molar	Calculus	A.1	Screening	NA	KNP007	11.3	10.3539823	4672000000	Sample	11288291	9160659	18.90675114	18.90646732	173	302	89
KNP009.A0102	NA	NA	This_study	NA	sink	Chimp_2	Pan_troglodytes	Chimp	Pan	Pan	PA2	Calculus	Historical	Uganda	Kibale National Park	Molar	Calculus	A.1	Both	NA	KNP009	17	1.136470588	12010000000	Sample	9238663	11345038	20.40132435	20.40102466	231	375	122
ABM007.A0101	NA	NA	This_study	NA	sink	Chimp_3	Pan_troglodytes	Chimp	Pan	Pan	PA3	Calculus	Historical	Cameroon	Abong Mbong	Molar	Calculus	B.3	Screening	NA	ABM007	0	0.119	54580000	Sample	13036934	12981357	15.37959398	15.37892379	199	303	79
ABM008.A0101	NA	NA	This_study	NA	sink	Chimp_3	Pan_troglodytes	Chimp	Pan	Pan	PA3	Calculus	Historical	Cameroon	Abong Mbong	Molar	Calculus	B.3	Screening	NA	ABM008	0	0.0693	23970000	Sample	5056494	5032357	15.15870198	15.15848339	76	129	28
DJA006.A0101	NA	NA	This_study	NA	sink	Chimp_3	Pan_troglodytes	Chimp	Pan	Pan	PA3	Calculus	Historical	Cameroon	Djaposten	Premolar	Calculus	B.3	Screening	NA	DJA006	0	0.262	96230000	Sample	13803162	13754707	17.35928653	17.35890121	238	348	64
DJA007.A0101	NA	NA	This_study	NA	sink	Chimp_3	Pan_troglodytes	Chimp	Pan	Pan	PA3	Calculus	Historical	Cameroon	Djaposten	Molar	Calculus	B.3	Screening	NA	DJA007	0	0.189	202400000	Sample	17462968	17395667	16.73490301	16.73442588	291	455	138
EBO008.A0101	NA	NA	This_study	NA	sink	Chimp_3	Pan_troglodytes	Chimp	Pan	Pan	PA3	Calculus	Historical	Cameroon	Ebolwa	Molar	Calculus	B.3	Screening	NA	EBO008	0	0.0673	44640000	Sample	11718029	11592824	21.48598995	21.4857743	249	370	82
EBO009.A0101	NA	NA	This_study	NA	sink	Chimp_3	Pan_troglodytes	Chimp	Pan	Pan	PA3	Calculus	Historical	Cameroon	Ebolwa	Molar	Calculus	B.3	Screening	NA	EBO009	0	0	10240000	Sample	3686370	3668406	18.71273245	18.71256889	68	104	21
Chimp.150519	NA	NA	Weyrich2017	NA	sink	Chimp_4	Pan_troglodytes	Chimp	Pan	Pan	PA3	Calculus	Historical	Sierra_Leone	Gola Forest	Unknown	Calculus	NA	Screening	NA	Chimp.150519	NA	NA	NA	Sample	17575167	17319354	18.23279321	18.23226779	315	646	186
ARS001.A0101.SG1.2	NA	NA	Jeong2018	NA	source	EnvironmentalControl	Archaeological_femur	EnvironmentalControl	Control	EnvironmentalControl	EN0	Not_Oral	Bronze Age	Mongolia	Arbulag sum	NA	NA	B.4	NA	PRJNA429081	ARS001	80	NA	154800000	Control	25983808	24581512	12.33751501	12.33050159	303	409	22
ARS004.A0101.SG1.2	NA	NA	Jeong2018	NA	source	EnvironmentalControl	Archaeological_femur	EnvironmentalControl	Control	EnvironmentalControl	EN0	Not_Oral	Bronze Age	Mongolia	Arbulag sum	NA	NA	B.4	NA	PRJNA429081	ARS004	90	NA	140550000	Control	18184154	17580795	8.644817007	8.62470413	151	214	6
ARS005.A0101.SG1.2	NA	NA	Jeong2018	NA	source	EnvironmentalControl	Archaeological_femur	EnvironmentalControl	Control	EnvironmentalControl	EN0	Not_Oral	Bronze Age	Mongolia	Arbulag sum	NA	NA	B.4	NA	PRJNA429081	ARS005	55	NA	60450000	Control	20112244	18356410	9.288031429	9.279549348	170	231	19
ARS010.A0101.SG1.2	NA	NA	Jeong2018	NA	source	EnvironmentalControl	Archaeological_femur	EnvironmentalControl	Control	EnvironmentalControl	EN0	Not_Oral	Bronze Age	Mongolia	Arbulag sum	NA	NA	B.4	NA	PRJNA429081	ARS010	57	NA	1331500000	Control	20257993	20255679	7.019536111	7.009025473	142	191	16
ARS011.A0101.SG1.2	NA	NA	Jeong2018	NA	source	EnvironmentalControl	Archaeological_femur	EnvironmentalControl	Control	EnvironmentalControl	EN0	Not_Oral	Bronze Age	Mongolia	Arbulag sum	NA	NA	B.4	NA	PRJNA429081	ARS011	49.8	NA	551000000	Control	18265812	18240287	8.610876405	8.601413837	157	216	23
ARS012.A0101.SG1.2	NA	NA	Jeong2018	NA	source	EnvironmentalControl	Archaeological_femur	EnvironmentalControl	Control	EnvironmentalControl	EN0	Not_Oral	Bronze Age	Mongolia	Arbulag sum	NA	NA	B.4	NA	PRJNA429081	ARS012	58	NA	283250000	Control	20726589	20433082	10.20574031	10.19991642	208	289	34
ARS013.A0101.SG1.2	NA	NA	Jeong2018	NA	source	EnvironmentalControl	Archaeological_femur	EnvironmentalControl	Control	EnvironmentalControl	EN0	Not_Oral	Bronze Age	Mongolia	Arbulag sum	NA	NA	B.4	NA	PRJNA429081	ARS013	58	NA	635000000	Control	21082198	21043477	9.079234993	9.070923631	191	254	27
ARS015.A0101.SG1.2	NA	NA	Jeong2018	NA	source	EnvironmentalControl	Archaeological_femur	EnvironmentalControl	Control	EnvironmentalControl	EN0	Not_Oral	Bronze Age	Mongolia	Arbulag sum	NA	NA	B.4	NA	PRJNA429081	ARS015	77	NA	121400000	Control	31214553	29902998	10.17000335	10.15684745	304	412	26
ARS017.A0101.SG1.2	NA	NA	Jeong2018	NA	source	EnvironmentalControl	Archaeological_femur	EnvironmentalControl	Control	EnvironmentalControl	EN0	Not_Oral	Bronze Age	Mongolia	Arbulag sum	NA	NA	B.4	NA	PRJNA429081	ARS017	69	NA	224400000	Control	41127718	38493832	9.622383345	9.615304283	370	495	62
ARS020.A0101.SG1.2	NA	NA	Jeong2018	NA	source	EnvironmentalControl	Archaeological_femur	EnvironmentalControl	Control	EnvironmentalControl	EN0	Not_Oral	Bronze Age	Mongolia	Arbulag sum	NA	NA	B.4	NA	PRJNA429081	ARS020	57	NA	254150000	Control	21133899	21129699	9.132382813	9.123868731	192	261	37
EXB002.A1101	NA	NA	This_study	NA	sink	ExtractionControl	extraction_control	ExtractionControl	Control	ExtractionControl	EX0	Blank	ModernDay	Germany	Jena	None	Blank	X.1	Screening	NA	EXB002.A1101	NA	NA	282800	Control	283027	280225	25.32036756	25.32001071	7	7	0
EXB015.A1701	NA	NA	This_study	NA	sink	ExtractionControl	extraction_control	ExtractionControl	Control	ExtractionControl	EX0	Blank	ModernDay	Germany	Jena	None	Blank	X.1	Screening	NA	EXB015.A1701	NA	NA	31640	Control	371378	238443	62.72484409	62.72442471	14	16	0
EXB015.A1901	NA	NA	This_study	NA	sink	ExtractionControl	extraction_control	ExtractionControl	Control	ExtractionControl	EX0	Blank	ModernDay	Germany	Jena	None	Blank	X.1	Screening	NA	EXB015.A1901	NA	NA	31080	Control	455419	277964	67.90267804	67.90123901	18	21	0
EXB015.A2001	NA	NA	This_study	NA	sink	ExtractionControl	extraction_control	ExtractionControl	Control	ExtractionControl	EX0	Blank	ModernDay	Germany	Jena	None	Blank	X.1	Screening	NA	EXB015.A2001	NA	NA	26940	Control	491661	309131	69.78530138	69.7846544	21	23	1
EXB015.A2101	NA	NA	This_study	NA	sink	ExtractionControl	extraction_control	ExtractionControl	Control	ExtractionControl	EX0	Blank	ModernDay	Germany	Jena	None	Blank	X.1	Screening	NA	EXB015.A2101	NA	NA	45470	Control	729522	448340	73.68559575	73.68492662	33	35	0
