Sample_Name	Raw_Reads	Post_Clip_and_Merge	Percent_Merged_Content_Post_Clip_and_Merge	Mapped_Reads	Percent_Endogenous_DNA	Post_Duplicate_Removal_Reads	Cluster_Factor	X_Mean_Coverage	mtDNA_Reads	Median_Fragment_Length	GC_Content_Percent	Non_Human_Reads
ABM006.A0101	21040716	8124616	97.24849765	67249	0.8277191193	31331	2.146404519	0.0005	4	44	53.35	8057367
ABM007.A0101	9498152	4257388	97.74208975	18096	0.4250493495	9503	1.904240766	0.0001	0	44	59.67	4239292
ABM007.A0101.171215	19584634	8779546	97.69828645	37481	0.4269127356	18207	2.058603834	0.0003	2	43	56.54	8742065
ABM008.A0101	6056962	2520771	98.47106302	11887	0.4715620737	4926	2.413114089	0.0001	5	49	66.78	2508884
ABM008.A0101.171215	6089442	2535723	98.36338591	12250	0.4830969313	4943	2.478252074	0.0001	5	51	67.34	2523473
ARS001.A0101.SG1.2	36402660	25983808	37.09328517	1402296	5.396807119	1230908	1.139237051	0.0216	4611	51	44.53	24581512
ARS004.A0101.SG1.2	25355100	18184154	35.78468924	603359	3.31804823	536414	1.124800993	0.0093	3052	51	44.6	17580795
ARS005.A0101.SG1.2	29846682	20112244	42.66584077	1755834	8.730174515	1523682	1.152362501	0.0263	2547	51	44.21	18356410
ARS010.A0101.SG1.2	31013852	20257993	48.6320634	2314	0.01142265179	2009	1.151816824	0	1	45	59.9	20255679
ARS011.A0101.SG1.2	26161806	18265812	38.21334086	25525	0.1397419398	22706	1.124152206	0.0004	92	51	46.34	18240287
ARS012.A0101.SG1.2	29852674	20726589	40.14096097	293507	1.416089256	252688	1.161539131	0.0043	333	51	43.51	20433082
ARS013.A0101.SG1.2	30584064	21082198	41.09291166	38721	0.1836668074	34743	1.114497884	0.0006	70	51	46.27	21043477
ARS015.A0101.SG1.2	43124450	31214553	35.81844661	1311555	4.201742053	1161940	1.128763103	0.0201	2593	51	44.77	29902998
ARS017.A0101.SG1.2	57317332	41127718	36.82038717	2633886	6.40416276	2275908	1.157290189	0.0399	2115	51	44	38493832
ARS020.A0101.SG1.2	31020626	21133899	41.510258	4200	0.0198732851	3923	1.070609228	0.0001	12	49	48.19	21129699
BAN001.A0101	21382118	10279949	92.0888518	173324	1.686039493	90373	1.917873701	0.0015	41	46	47.74	10106625
BIT001.A0101	16284740	7840433	92.21585083	379910	4.8455232	349522	1.086941595	0.0066	21	53	46	7460523
BIT001.A0101.171215	34456694	16593156	92.24995534	813718	4.903937503	743996	1.093712869	0.0141	52	53	45.57	15779438
BSQ001.A0101	23192334	10907303	89.30754926	40391	0.3703115243	13976	2.890025758	0.0002	2	43	60.72	10866912
CDC005.A0101	1993872	1925821	NA	7695	0.3995698458	7077	1.087325138	0.0001	5	51	44.21	1918126
CDC005.A0101.170817	5337800	2624617	95.91864261	15961	0.6081268238	11220	1.42254902	0.0002	1	51	50.38	2608656
CDC006.A0101	34994338	15210915	97.03150008	90602	0.5956380665	23801	3.80664678	0.0004	15	42	59.4	15120313
CDC007.A0101	40118406	15965860	96.8376085	87187	0.5460839566	18442	4.727632578	0.0003	1	40	63.83	15878673
CDC008.A0101	34982516	15191052	95.37712069	96086	0.6325170897	31992	3.00343836	0.0005	10	42	53.42	15094966
CDC009.A0101	31117538	14434761	97.25391366	148655	1.029840397	68159	2.181003242	0.0011	14	45	46.57	14286106
CDC010.A0101	35582078	15143701	97.19149236	111776	0.7381022644	55071	2.029670789	0.0008	15	42	49.03	15031925
CDC011.A0101	4063605	3941957	NA	10868	0.2757006228	10032	1.083333333	0.0002	4	61	46.38	3931089
CDC011.A0101.170817	10644960	5238082	96.72263626	27557	0.5260895114	16062	1.715664301	0.0003	13	58	52.64	5210525
Chimp.150519			96.72263626	255813		28669	8.922983013	0.0003	0	31	46.12	17319354
DJA002.A0101	30118344	12060645	97.78504383	82508	0.684109349	28188	2.927061161	0.0004	13	41	55.6	11978137
DJA006.A0101	8762614	3666008	96.57924915	12604	0.3438072148	4379	2.878282713	0.0001	1	46	75.65	3653404
DJA006.A0101.171215	24221230	10137154	96.54911033	35851	0.3536594196	10280	3.487451362	0.0002	6	44	70.42	10101303
DJA007.A0101	13066884	5781538	98.30017549	21779	0.3766990721	9159	2.377879681	0.0002	6	47	63.51	5759759
DJA007.A0101.171215	26378280	11681430	98.18207189	45522	0.3896954397	17252	2.638650591	0.0003	10	47	59.86	11635908
DLV001.A0101	13529482	6961447	86.08777744	5974772	85.82658174	5747421	1.039557047	0.1315	13884	70	46.07	986675
DLV002.A0101	159310	87401	70.81269093	4345	4.971339001	2429	1.788801976	0.0001	1	76	47.54	83056
EBO001.A0101	43456664	15940347	97.58615041	173057	1.085653907	87315	1.981984768	0.0015	615	49	47.95	15767290
EBO003.A0101	52834648	20663024	97.32996971	113079	0.5472529094	22761	4.968103335	0.0004	12	48	60.28	20549945
EBO008.A0101	8216550	3721014	97.19331881	39641	1.065327892	31482	1.259163967	0.0006	9	54	51.08	3681373
EBO008.A0101.171215	17665616	7997015	97.18873855	85564	1.069949225	66525	1.28619316	0.0012	8	53	50.17	7911451
EBO009.A0101	4171968	1783508	98.04245341	8609	0.482700386	4361	1.974088512	0.0001	2	51	62.34	1774899
EBO009.A0101.171215	4445818	1902862	97.97709976	9355	0.4916278742	4796	1.95058382	0.0001	1	52	61.73	1893507
ECO002.B0101	32797254	12966305	97.01932817	92630	0.7143901057	26328	3.518307505	0.0005	9	55	50.81	12873675
ECO002.C0101	28076736	11856113	97.73148249	67504	0.5693602954	16642	4.05624324	0.0003	4	47	57.27	11788609
ECO004.B0101	27250280	11095766	93.34591231	399981	3.604807455	326499	1.225060414	0.0071	107	66	43.91	10695785
ECO004.C0101	24972780	9802413	95.97035954	98027	1.000029279	43846	2.235711353	0.0009	14	61	48.2	9704386
ECO006.B0101	24374026	10587665	89.68237095	98751	0.9326985695	42397	2.329197821	0.0009	34	69	48.47	10488914
ECO010.B0101	30449940	12320812	97.99756704	74678	0.6061126491	10532	7.090581086	0.0002	0	34	69.55	12246134
ElSidron1			97.99756704	23461		17456	1.344007791	0.0002	9	27	45.24	50263252
ElSidron2			97.99756704	31979		9797	3.264162499	0.0001	0	26	48.87	48199813
EMN001.A0101	26673212	12639045	90.85593097	59556	0.4712064875	10105	5.893715982	0.0002	2	50	67.83	12579489
ERR1883418			90.85593097	597820		593091	1.007973481	0.005	114	24	47.39	15313919
ERR1883419			90.85593097	731615		725666	1.008197986	0.006	153	24	46.02	14971987
ERR1883420			90.85593097	651214		646260	1.007665645	0.0052	102	24	48.38	17128621
ERR1883421			90.85593097	706843		701402	1.00775732	0.0055	83	23	50.25	15512230
ERR1883422			90.85593097	2934849		2893458	1.014305029	0.02	62	22	61.7	16579390
ERR1883423			90.85593097	1103636		1093142	1.009599851	0.0074	20	22	62.18	14450910
ERR1883424			90.85593097	715846		711735	1.005776026	0.0049	13	22	60.99	17758233
ERR1883430			90.85593097	827183		824029	1.003827535	0.0055	32	21	56.23	14823024
ERR1883436			90.85593097	651919		648174	1.00577777	0.0044	30	21	55	20645139
ERR1883438			90.85593097	472010		470592	1.003013226	0.003	15	21	57.93	17270876
ESA003.A0101	21282008	10175536	94.44509852	46035	0.4524086004	10302	4.468549796	0.0002	4	45	69.48	10129501
ESA004.A0101	18509590	7856208	97.22866299	32067	0.4081740198	6710	4.778986587	0.0001	2	41	82.14	7824141
ESA006.A0101	24509716	11274114	94.27231266	40688	0.3608975393	9387	4.334505167	0.0001	6	44	71.46	11233426
ESA007.A0101	20998734	9967273	93.97584475	63842	0.6405162174	11037	5.784361692	0.0002	3	44	78.7	9903431
ESA008.A0101	19624716	9162818	95.74899338	42888	0.4680656104	8087	5.303326326	0.0001	1	44	80.52	9119930
EXB002.A1101	471140	283027	NA	2802	0.9900115537	2194	1.277119417	0	0	69	43.74	280225
EXB015.A1701	963592	371378	19.82750728	132935	35.79506594	5680	23.4040493	0.0001	0	60	77.86	238443
EXB015.A1901	1237680	455419	17.06011387	177455	38.96521665	9783	18.13911888	0.0002	3	62	64	277964
EXB015.A2001	1323820	491661	17.33958968	182530	37.12517365	8031	22.72817831	0.0002	6	67	65.15	309131
EXB015.A2101	2190988	729522	12.09559136	281182	38.54332015	6276	44.8027406	0.0001	2	66	74.74	448340
EXB015.A2201	1990394	788087	20.53212399	282685	35.86977072	8900	31.76235955	0.0002	1	63	70.21	505402
EXB015.A2301	611632	253027	16.92625688	80952	31.99342363	4015	20.16239103	0.0001	2	63	83.45	172075
EXB015.A2401	1266124	517631	18.65885158	27356	5.284845769	16706	1.637495511	0.0003	5	49	44.89	490275
EXB015.A2501	3841918	1638400	33.52386475	16288	0.994140625	5486	2.969012031	0.0001	11	63	45.05	1622112
EXB015.A2601	3668460	1551629	37.82830818	16358	1.054246859	6601	2.478109377	0.0001	7	65	44.21	1535271
EXB015.A2801	4949108	2108939	58.07749774	22808	1.081491688	8610	2.649012776	0.0002	21	61	44.34	2086131
EXB015.A2901	1750630	510324	19.6872967	19347	3.791120935	7381	2.621189541	0.0002	7	76	44.47	490977
EXB020.A0101	220546	112204	34.6939503	30420	27.11133293	2287	13.30126804	0.0001	0	71	73.45	81784
EXB021.A0101	217628	108735	19.87216628	35138	32.31526188	2386	14.72673931	0	0	66	83.49	73597
EXB022.A0101	5298316	2445235	34.28975129	677603	27.71116069	26241	25.82230098	0.0005	50	61	55.79	1767632
EXB023.A0101	5283270	2409113	47.19355215	677594	28.12628548	96355	7.032266099	0.002	79	63	48.16	1731519
EXB033.A0401	2184416	921045	55.43084214	29681	3.222535272	18003	1.648669666	0.0005	8	76	40.91	891364
EXB033.A0801	2308874	1009071	NA	68776	6.815774113	18776	3.662974009	0.0003	28	51	47.45	940295
EXB033.A1401	486094	227137	88.85254274	3564	1.569097065	3533	1.008774413	0.0001	1	75	42.92	223573
FDM001.A0101	5894884	2472888	97.73616921	43182	1.746217378	37516	1.151028894	0.0006	3	46	45.97	2429706
FDM001.A0101.171215	5964256	2504516	97.6634208	44471	1.775632497	38794	1.146337062	0.0006	6	46	45.83	2460045
FUM001.A0101	34037968	16663862	82.17990523	5855364	35.13809704	1749866	3.346178507	0.0417	3780	75	45.52	10808498
FUM002.A0101	39367586	17346934	97.82269881	189400	1.091835595	128218	1.477171692	0.0029	111	73	48.24	17157534
FUM003.A0101	34052390	17170133	83.314707	1461515	8.511960857	1116109	1.309473358	0.0252	923	71	47.57	15708618
GDC002.A0101	28835174	11389360	94.64008513	88706	0.7788497334	43904	2.020453717	0.0007	14	43	51.25	11300654
GDC004.A0101	27391430	12455663	96.79685457	153011	1.228445246	105858	1.445436339	0.0016	14	42	44.81	12302652
GDC005.A0101	29901178	12460462	97.7955713	2529394	20.29935969	1995511	1.267541998	0.0309	799	44	47.64	9931068
GDN001.A0101	34496884	16338526	89.16967173	684584	4.189998535	25223	27.14125996	0.0005	6	65	56.63	15653942
GDN001.B0101	36398636	15326226	97.36259272	144698	0.9441202289	32247	4.487177102	0.0007	15	60	53.67	15181528
GOY005.A0101	11004043	9332707	NA	169589	1.817146944	164894	1.028472837	0.0033	80	70	45.88	9163118
GOY006.A0101	5539193	5048233	NA	1248997	24.74127086	1224831	1.019730069	0.0274	921	75	45.21	3799236
GUE001.A0101	22722004	12055695	74.40432095	899364	7.460075923	256372	3.508043	0.0063	374	75	49.17	11156331
IBA001.A0101	8628794	4168481	90.79422456	43959	1.054556804	35493	1.238525907	0.0007	9	53	47.12	4124522
IBA001.A0101.171215	18565046	8959383	91.03609032	96241	1.074192274	76888	1.251703777	0.0015	12	52	46.31	8863142
IBA002.A0101	14354566	6987154	94.61430219	39845	0.5702607957	26596	1.498157618	0.0006	16	60	50.66	6947309
IBA002.A0101.171215	24962488	12144960	94.7152399	70254	0.5784621769	45237	1.553020757	0.0009	34	60	49.59	12074706
JAE006.A0101	141974546	88613670	59.14819576	729728	0.8234937115	514499	1.418327344	0.0134	123	76	45.64	87883942
JAE007.A0101	108434984	66728743	61.50526618	309192	0.4633565479	150355	2.056413156	0.0039	117	76	46.23	66419551
JAE008.A0101	105004392	66717630	56.59470818	1421591	2.130757642	1210858	1.174036097	0.0323	523	76	42.92	65296039
JAE009.A0101	106555264	66584109	58.84045696	521699	0.7835187822	370638	1.40757019	0.0096	213	76	45.56	66062410
JAE010.A0101	100278048	60316527	64.91299806	289191	0.4794556557	148743	1.94423267	0.0037	238	76	47.48	60027336
JAE012.A0101	97018596	63543283	51.76419827	791006	1.244830236	612795	1.290816668	0.0162	1290	76	45.65	62752277
JAE013.A0101	62847184	39086563	59.79065491	132234	0.3383106363	33537	3.942928706	0.0008	39	76	52.68	38954329
JAE014.A0101	106965986	68875543	54.51785839	255061	0.3703215813	73545	3.468094364	0.0019	101	76	48.85	68620482
JAE015.A0101	91164542	57698550	57.15130103	186269	0.3228313363	25765	7.229536193	0.0006	252	74	58	57512281
JAE016.A0101	148237418	94897020	55.24606147	332467	0.3503450372	119891	2.773077212	0.003	480	76	47.99	94564553
KNP001.A0102	30609376	16902026	79.1897847	642003	3.798378964	581027	1.104945209	0.0117	10	59	40.21	16260023
KNP003.A0102	19346626	10425696	81.22504243	31251	0.2997497721	13574	2.302269044	0.0002	3	48	53.88	10394445
KNP004.A0102	346426	188197	80.18937603	3703	1.967619037	3446	1.074579222	0.0001	1	53	43.52	184494
KNP005.A0102	19273758	11286072	69.31792567	191039	1.692696981	155811	1.226094435	0.0033	5	63	40.28	11095033
KNP006.A0102	21817058	11288291	87.5928606	128614	1.139357587	104635	1.22916806	0.002	9	54	42.5	11159677
KNP007.A0102	16521186	9238663	76.65064739	78004	0.8443213049	56319	1.385038797	0.0012	0	62	43.29	9160659
KNP009.A0102	20075636	11405090	74.42491905	60052	0.5265368357	27572	2.178006673	0.0005	1	57	47.07	11345038
LIB007.A0117	239618	77128	5.971890883	31798	41.22756975	1387	22.92573901	0	0	69	93.87	45330
LIB007.A0118	1760724	707817	7.935525708	293863	41.51680448	5117	57.42876686	0.0001	0	64	85.79	413954
LIB007.A0119	1101852	478362	6.547133761	182597	38.17130123	4482	40.7400714	0.0001	0	59	92.43	295765
LIB007.A0120	3663208	1299130	7.142395295	2786	0.2144512097	1601	1.740162399	0	0	61	31.15	1296344
LIB007.A0122	4548472	1963525	28.09931119	6288	0.320240384	2736	2.298245614	0.0001	0	56	36.32	1957237
LIB007.A0123	3860324	1451140	28.62294472	4680	0.322505065	2106	2.222222222	0	0	53	35.69	1446460
LIB007.A0124	2692716	800723	19.01406604	24697	3.08433753	6084	4.059335963	0.0001	3	62	42.78	776026
LIB009.A0102	284572	207929	NA	3515	1.690480885	2567	1.369302688	0.0001	1	70	43.77	204414
LIB012.A0101	264154	127410	15.32532768	43276	33.96593674	2291	18.88956787	0	0	67	86.18	84134
LIB013.A0101	802	527	30.55028463	193	36.62239089	134	1.440298507	0	0	73	63.3	334
LIB014.A0101	3015750	1449431	28.49683772	457548	31.56742197	28087	16.29038345	0.0006	28	59	55.96	991883
LIB015.A0101	3741824	1838479	58.04477506	386963	21.04799674	60271	6.420384596	0.0012	32	61	50.68	1451516
LIB017.A0101	3072620	1374861	29.28136008	438858	31.92017229	15322	28.64234434	0.0003	0	55	65.05	936003
LIB017.A0102	2230176	1103495	5.765046511	433452	39.27992424	8097	53.53241941	0.0001	2	52	93.13	670043
LIB025.A0301	1985302	737031	84.83306672	24280	3.29429834	19545	1.242261448	0.0004	3	53	42.79	712751
LIB025.A0601	2328091	724955	NA	6632	0.9148154023	2877	2.305179006	0	0	46	64.43	718323
LIB025.A0701	2762812	836784	NA	6740	0.8054647316	2363	2.85230639	0	0	42	72.53	830044
LIS001.A0101	23166834	10650194	94.10078352	34264	0.3217218391	9832	3.484947111	0.0002	6	44	67.35	10615930
LIS002.A0101	26977086	11617006	96.41203594	55296	0.4759918347	9905	5.582635033	0.0001	3	39	78.87	11561710
LIS003.A0101	22024658	10478999	94.23379084	61839	0.5901231597	10538	5.868191308	0.0002	5	43	70.26	10417160
LOB001.A0101	3766065	3623996	NA	20511	0.5659774459	18774	1.092521572	0.0004	10	62	47.29	3603485
LOB001.A0101.170817	10536860	5207609	94.11975822	40189	0.7717361269	29721	1.352208876	0.0006	14	59	49.77	5167420
MOA001.A0101	1240487	1221426	NA	592	0.0484679383	502	1.179282869	0	0	49	52.53	1220834
MOA001.A0101.170817	10408202	5521638	85.61026637	12686	0.2297506646	4227	3.001182872	0.0001	4	49	74.38	5508952
MOA001.A0102	1599129	1534820	NA	1051	0.06847708526	940	1.118085106	0	2	50	49.05	1533769
MOA001.A0102.170817	13521376	6933063	87.22405955	19708	0.2842610834	5721	3.444852299	0.0001	1	47	73.3	6913355
MTK001.A0101	3778311	3673776	NA	28111	0.7651800219	25618	1.097314388	0.0005	18	74	44.67	3645665
MTK001.A0101.170817	9399470	4671930	94.97346921	48791	1.044343558	36838	1.324474727	0.0009	22	72	46.97	4623139
MTM001.A0101	8242730	3875027	95.66612052	388171	10.01724633	360193	1.077675024	0.007	108	56	44.38	3486856
MTM002.A0101	6050620	3170409	81.80641677	105140	3.316291368	92736	1.133756039	0.002	66	69	45.44	3065269
MTM003.A0101	15243084	14830040	NA	823831	5.555150222	742982	1.108816903	0.0159	244	75	44.47	14006209
MTM003.A0101.170817	42285192	21767357	88.27709767	1227518	5.63926066	1164775	1.053867056	0.028	331	75	43.63	20539839
MTM004.A0101	9246092	4189539	97.30767514	83049	1.982294472	76293	1.08855334	0.0015	22	56	45.62	4106490
MTM005.A0101	7120314	3459869	93.21627495	25783	0.7452016247	23862	1.080504568	0.0005	29	64	46.47	3434086
MTM006.A0101	14671648	7111633	91.43687533	41782	0.5875162568	38419	1.087534814	0.0009	16	69	46.32	7069851
MTM008.A0101	10692468	5259403	95.47633068	95105	1.808285085	87981	1.080972028	0.0019	73	66	48.82	5164298
MTM009.A0101	5193468	2400568	97.41411199	15077	0.6280596925	14012	1.07600628	0.0002	9	49	47.37	2385491
MTM010.A0101	3999181	3831858	NA	180353	4.706672324	165937	1.086876345	0.0032	189	60	46.24	3651505
MTM010.A0101.170817	11727168	5749677	94.79351623	277556	4.82733204	262143	1.058796153	0.0053	276	58	45.76	5472121
MTM011.A0101	3602979	3542664	NA	1569977	44.31628289	1393615	1.126550016	0.0299	499	75	45.68	1972687
MTM011.A0101.170817	9264188	4924429	84.36029842	2122106	43.09344291	2051078	1.034629595	0.0495	557	75	44.81	2802323
MTM012.A0101	4713268	4644355	NA	475453	10.23722347	429302	1.107502411	0.0088	584	68	45.41	4168902
MTM012.A0101.170817	13764126	7190590	88.2113846	736467	10.24209418	703063	1.047512101	0.0157	867	67	44.76	6454123
MTM013.A0101	3428641	3326513	NA	318706	9.580783241	284882	1.11872986	0.0056	570	64	45.51	3007807
MTM013.A0101.170817	9199902	4528441	96.56820084	430762	9.512368605	412099	1.045287661	0.0088	711	62	45.02	4097679
MTS001.A0101	3237389	3033020	NA	242100	7.98214321	220313	1.098891123	0.0043	95	65	45.84	2790920
MTS001.A0101.170817	8395494	4077565	91.53843041	327571	8.033495481	313554	1.044703624	0.0067	97	63	45.24	3749994
MTS002.A0101	4366891	4300564	NA	1561099	36.29986672	1389807	1.123248768	0.0275	292	64	48.92	2739465
MTS002.A0101.170817	11640082	5929834	92.82961378	2106737	35.52775676	2016406	1.044798022	0.0427	335	62	48.1	3823097
MTS003.A0101	3209482	3066780	NA	67770	2.209809637	62418	1.085744497	0.0012	10	63	45.19	2999010
MTS003.A0101.170817	9409960	4647213	92.43249664	113922	2.451404745	102848	1.10767346	0.0021	19	60	45.47	4533291
OAK001.A0101	36704098	11356072	92.33443571	144401	1.271575242	36556	3.950131305	0.0006	33	46	49.67	11211671
OAK002.A0101	34800808	14080724	97.60157219	74754	0.5308959965	29705	2.516546036	0.0004	8	37	51.01	14005970
OAK003.A0101	37603366	17248930	95.82497001	59421	0.3444909336	12893	4.608779958	0.0002	4	41	65.01	17189509
OAK004.A0101	34034746	14644010	95.78380512	1155236	7.888795487	1070633	1.079021476	0.0269	993	76	44.3	13488774
OAK005.A0101	37371876	17004996	95.93070766	64668	0.38028824	14594	4.431136083	0.0002	18	43	64.43	16940328
OFN001.A0101	27683114	12573910	93.14719924	173220	1.377614441	134797	1.285043436	0.003	111	70	46.33	12400690
OME002.A0101	27514202	14159411	85.331	164948	1.164935462	137588	1.198854551	0.0023	7	47	42.95	13994463
OME003.A0101	26772056	14096803	83.14963329	140067	0.9936082671	98827	1.417294869	0.0016	1	46	43.88	13956736
OME005.A0101	17388136	9532562	78.19066899	61743	0.6477062515	45611	1.353686611	0.0008	6	48	45.65	9470819
OME007.A0101	21148044	11587294	77.46211497	97113	0.8380990419	78504	1.237045246	0.0013	6	45.5	44.05	11490181
OME009.A0101	13515446	7487708	76.44670439	65462	0.8742595197	53910	1.214283064	0.001	1	51	44.46	7422246
PES001.B0101	12350535	11916500	NA	44221	0.3710905048	39855	1.109547108	0.0008	36	75	47.32	11872279
PLV001.A0101	25218370	11670577	89.75844125	239196	2.049564473	187939	1.27273211	0.0042	185	71	46.26	11431381
PYK001.A0101	32880996	15328223	93.79291389	79978	0.5217695489	41357	1.933844331	0.0006	8	42	50.32	15248245
PYK002.A0101	37823082	17328324	97.42613308	109346	0.6310246738	64678	1.690621231	0.001	32	44	47.68	17218978
PYK003.A0101	30804596	14780665	94.83856782	48442	0.3277389752	11470	4.223365301	0.0002	7	43	65.64	14732223
PYK004.A0101	34834172	16765146	95.96738376	56841	0.3390426782	11755	4.835474266	0.0002	4	45	71.45	16708305
PYK005.A0101	43549912	21523136	93.79671252	54623	0.2537873663	8128	6.720349409	0.0001	4	41	82.02	21468513
RIG001.A0101	58161058	26219271	96.41519781	141823	0.5409113015	18168	7.80619771	0.0003	0	39	62.28	26077448
SPM001.A0101	17859222	8654980	39.30835195	4078304	47.12089456	415988	9.803898189	0.009	1790	72	47.82	4576676
SPM002.A0101	21382622	13589782	47.30342253	11494308	84.58051792	6685686	1.719241376	0.1749	25275	76	43.42	2095474
SpyNew			47.30342253	17569		1139	15.42493415	0	0	25	49.68	4024112
SpyOld			47.30342253	428813		156585	2.738531788	0.0039	168	74	45.23	17175527
SRR059389	58409094	45099726	17.68561964	838	0.001858104415	828	1.012077295	0	3	30	37.1	45098888
SRR059425	58738550	36488859	50.42112443	283	0.000775579198	280	1.010714286	0	0	30	45.4	36488576
SRR059455	59165542	36349730	54.63900007	203	0.0005584635704	203	1	0	0	30	52.31	36349527
SRR059917	57219606	41461174	25.83846034	458	0.001104647929	453	1.011037528	0	0	30	37.13	41460716
SRR060358	55225692	37402845	34.81057658	306	0.0008181195842	305	1.003278689	0	0	30	29.4	37402539
SRR061192	47880614	21920659	45.94821716	3320	0.01514553007	3311	1.002718212	0.0001	1	35	38.3	21917339
SRR061294	56674010	10381260	40.16602994	5773	0.05560982	5759	1.002430978	0.0001	1	44	38.65	10375487
SRR061320	49161352	23530045	21.57640158	2651	0.01126644679	2640	1.004166667	0	1	43	41.86	23527394
SRR061365	55606754	26909112	44.47236683	1880	0.006986481011	1789	1.050866406	0	0	40	49.37	26907232
SRR061562	55054786	32961137	35.68641458	2250	0.006826220831	2236	1.006261181	0	0	36	43.51	32958887
SRR062083	51988214	33718000	17.60018388	3239	0.009606145086	3231	1.002476014	0	1	37	51.25	33714761
SRR062298	60673430	13970849	19.47634678	5755	0.04119291533	5725	1.005240175	0.0001	2	42	38.26	13965094
SRR062299	59124280	6701027	15.06416852	11093	0.1655417893	11043	1.004527755	0.0002	0	37	36.92	6689934
SRR063517	53358908	25967036	22.57431306	2669	0.01027841607	2544	1.04913522	0	0	44	46.54	25964367
SRR1631060	48356624	30740748	56.35836513	147	0.0004781926582	147	1	0	0	31	54.77	30740601
SRR1631061	49625374	31571128	56.23828518	133	0.000421270979	133	1	0	0	32	58.56	31570995
SRR1631063	54430352	34647618	56.15081822	181	0.0005224024347	181	1	0	0	32	54.97	34647437
SRR1631064	54756396	34889835	56.00128805	137	0.000392664511	136	1.007352941	0	0	32	58.5	34889698
SRR1633008	27262248	19880491	36.75312144	52	0.0002615629564	52	1	0	0	32	66.41	19880439
SRR1761677	51851920	37323510	37.50844441	1274	0.00341339815	1248	1.020833333	0	0	30	34.64	37322236
SRR1761682	42705628	28774192	47.22824884	813	0.002825448583	794	1.023929471	0	6	30	34.48	28773379
SRR1761688	46249986	29901415	53.41682659	766	0.002561751676	746	1.026809651	0	2	30	39.44	29900649
SRR1761692	48959170	31441750	54.49437452	1022	0.003250455207	968	1.055785124	0	1	30	37.55	31440728
SRR1761697	53139708	35930529	46.49029242	1096	0.00305033082	1078	1.016697588	0	0	30	38.12	35929433
SRR1761698	70798988	50125762	39.76692065	1630	0.00325182089	1589	1.025802391	0	1	30	32.96	50124132
SRR1761705	58453308	43135531	34.29739163	2192	0.005081657625	2186	1.002744739	0	4	30	26.54	43133339
SRR1761710	54795168	40041269	35.91156414	1214	0.003031871942	1179	1.029686175	0	0	30	28.02	40040055
SRR1761718	59981100	43880225	34.61826825	3122	0.007114822223	3105	1.00547504	0	4	30	26.16	43877103
SRR1761721	58106422	43668569	30.95729791	2785	0.006377584757	2763	1.00796236	0	0	30	28.97	43665784
SRR1804664	47477770	27545705	23.43402356	1595	0.005790376394	1587	1.005040958	0	0	40	37.42	27544110
SRR1804823	56029216	19303573	23.83151554	2374	0.01229824137	2333	1.017573939	0.0001	0	52	35.67	19301199
SRR1929408	63686272	59782659	6.393599856	248	0.0004148360146	248	1	0	4	47.5	43.31	59782411
SRR1930121	71290650	68362818	4.097695329	309	0.0004520000916	309	1	0	3	43	46.19	68362509
SRR1930123	77841428	73941254	5.136553405	726	0.0009818605457	726	1	0	0	51	42.51	73940528
SRR1930141	64739338	61586458	4.93213297	169	0.0002744109752	169	1	0	4	32	37.3	61586289
SRR1930145	33390282	32302251	3.15012412	1078	0.003337228727	1077	1.000928505	0	10	62	43.13	32301173
SRR3184100	30677694	26261747	16.79995242	22	0.00008377203542	22	1	0	0	31.5	79.57	26261725
SRR3184876	57281306	40471750	41.49826484	73	0.0001803727291	73	1	0	0	31	65.18	40471677
SRR3189411	27652340	19815217	39.47121043	39	0.000196818435	39	1	0	0	31	56.73	19815178
SRR3189416	25380914	18295464	38.67108262	25	0.0001366458921	25	1	0	0	31	64.52	18295439
SRR3189418	23073016	16666160	38.37708866	19	0.0001140034657	19	1	0	0	31	61.53	16666141
SRR512767	100206898	66557754	13.74920494	2432	0.003653969453	2113	1.150970185	0	0	43	43.61	66555322
SRR513165	85659508	14351592	23.00069567	4449	0.03100004515	3929	1.132349198	0.0001	1	67	38.94	14347143
SRR513768	167216178	27861563	30.35486559	8075	0.02898258077	7444	1.084766255	0.0002	1	80.5	42.06	27853488
SRR513775	96875170	24139399	27.75111758	4375	0.01812389778	4207	1.039933444	0.0001	0	95	42.65	24135024
SRR513828	97560848	46402367	11.12094131	6275	0.01352301705	6216	1.009491634	0.0001	0	42	41.53	46396092
SRR514202	215253850	11758533	5.386547795	16507	0.1403831583	15588	1.058955607	0.0003	2	58	38.89	11742026
SRR514239	168377064	16645687	6.273829371	11722	0.0704206441	11083	1.057655869	0.0002	1	60	38.21	16633965
