sample_name	total_number_raw_reads_before_clipmerge	total_number_reads_after_clipmerge_prior_mapping	total_number_merged_reads	mean_percent_merged_reads	total_number_reads_not_attempted_to_map	total_number_reads_mapped_prior_rmdup	total_number_duplicates_removed	total_number_reads_mapped_after_rmdup	mean_percent_endogenous_dna	mean_cluster_factor	mean_mean_fold_coverage	mean_std_dev_coverage	mean_percent_coverage_morethan_1x	mean_percent_coverage_morethan_2x	mean_percent_coverage_morethan_3x	mean_percent_coverage_morethan_4x	mean_percent_coverage_morethan_5x	total_number_reads_on_mitochondrium	mean_average_coverage_on_mitochondrium	mean_ratio_mitochondrion_to_nuclear	mean_frequency_damage_1st_base_3prime	mean_frequency_damage_2nd_base_3prime	mean_frequency_damage_1st_base_5prime	mean_frequency_damage_2nd_base_5prime	mean_average_fragment_length	mean_median_fragment_length	mean_percent_gc_content	total_unmapped_reads
DJA002.A0102.SG1.1	145419258	51889467	51266970	98.79833333	622478	96146	9475	86671	0.1853333333	1.105	4.33E-04	0.03806666667	0.03666666667	0	0	0	0	31	0.0331542841	63.86333333	0.01993333333	0.01896666667	0.01873333333	0.01876666667	44.84666667	38	47.62333333	51793321
EBO003.A0102.SG1.1	163054200	57411964	55586335	96.82233333	1825572	81686	10864	70822	0.1426666667	1.144666667	4.33E-04	0.0262	0.04333333333	0	0	0	0	46	0.06166133543	111.6166667	0.009166666667	0.0121	0.01266666667	0.01	61.55333333	61.33333333	47.88666667	57330278
ECO002.B0102.SG1.1	107186852	37977768	35698069	93.991	2279676	131374	17431	113943	0.3456666667	1.147	8.00E-04	0.03103333333	0.08	0	0	0	0	64	0.09815518941	122.2766667	0.01043333333	0.009766666667	0.01036666667	0.007	67.79	75.33333333	43.78333333	37846394
ECO004.B0103.SG1.1	134246266	56901161	45232730	79.51833333	11668388	3621389	508285	3113104	6.370666667	1.150333333	0.0235	0.2240333333	2.21	0.09	0.006666666667	0.006666666667	0	999	1.454040678	61.95	0.003966666667	0.003666666667	0.003566666667	0.002533333333	70.11	74.66666667	44.15	53279772
EMN001.A0102.SG1.1	208944200	99227533	87965664	88.63366667	11261832	65633	8428	57205	0.06633333333	1.140666667	4.00E-04	0.0251	0.03666666667	0	0	0	0	26	NaN	62.87	0.01433333333	0.007866666667	0.01113333333	0.008266666667	65.34	73.66666667	45.48666667	99161900
FUM002.A0103.SG1.1	61703682	23327553	22884354	98.092	443166	266953	36040	230913	1.146666667	1.147	0.001866666667	0.04583333333	0.1766666667	0.006666666667	0	0	0	228	0.3372965578	173.2466667	0.003733333333	0.004433333333	0.0043	0.0027	74.79666667	76	47.2	23060600
GOY005.A0102	443150763	332990717	0	0	0	6877083	1185772	5691311	2.065	1.208	0.1116	0.7186	9.66	1.06	0.13	0.03	0.02	2110	7.941577645	71.17	0.0121	0.0066	0.0042	0.0032	60.72	66	45.67	326113634
KNP001.A0101	16260702	8579288	6907695	80.516	1671590	154717	15438	139279	1.803	1.111	0.0028	0.0572	0.27	0	0	0	0	1	0.003078037299	1.1	0.0139	0.0141	0.0102	0.0111	62.32	59	43.14	8424571
KNP001.A0101.161208	286236850	145259052	124914025	85.994	20345002	2826085	235592	2590493	1.946	1.091	0.0508	0.3943	4.76	0.18	0.02	0.01	0.01	45	0.1548675237	3.05	0.0131	0.0132	0.0098	0.0112	60.74	57	43.54	142432967
KNP004.A0101	19393382	11064963	7829589	70.76	3235370	71750	7800	63950	0.648	1.122	0.0013	0.0376	0.12	0	0	0	0	12	0.04604985213	36.32	0.0105	0.0102	0.0073	0.008	61.39	57	43.08	10993213
KNP004.A0101.161208	460435386	248125205	197730673	79.69	50394474	1861254	196594	1664660	0.75	1.118	0.032	0.2929	3.03	0.09	0.01	0.01	0.01	280	1.079365079	33.7	0.0109	0.01	0.0086	0.0085	59.58	55	43.56	246263951
KNP005.A0101	16828080	9453826	6504711	68.805	2949104	47082	5138	41944	0.498	1.122	9.00E-04	0.0309	0.09	0	0	0	0	5	0.01629549158	18.49	0.0162	0.0141	0.014	0.0121	65.05	63	42.34	9406744
KNP005.A0101.161011	85352555	80378233	0	0	0	537226	46446	490780	0.668	1.095	0.0102	0.1544	0.98	0.01	0	0	0	36	0.1220351258	12.02	0.0189	0.0137	0.0121	0.0115	64.05	59	41.7	79841007
KNP009.A0101	16758892	9682068	6645058	68.633	3037006	14409	1280	13129	0.149	1.097	3.00E-04	0.0174	0.03	0	0	0	0	0	NaN	0	0.0143	0.0124	0.0116	0.0146	64.15	61	42.43	9667659
KNP009.A0101.161208	208356046	114152943	87755539	76.875	26397392	188506	13335	175171	0.165	1.076	0.0035	0.0692	0.34	0	0	0	0	38	0.1400205202	39.84	0.016	0.0165	0.0116	0.0131	62.13	58	42.59	113964437
