Sample number,Sample Name,# reads after C&M prior mapping,# mapped reads prior RMDup,# of Duplicates removed,Mapped Reads after RMDup,Endogenous DNA (%),Cluster Factor,Mean Coverage,std. dev. Coverage,Coverage >= 1X in %,Coverage >= 2X in %,Coverage >= 3X in %,Coverage >= 4X in %,Coverage >= 5X in %,DMG 1st Base 3',DMG 2nd Base 3',DMG 1st Base 5',DMG 2nd Base 5',average fragment length,median fragment length,GC content in %
Sample 1/29,DJA002,60839,60839,6578,54261,100.000,1.121,0.0065,0.3614,0.31,0.09,0.04,0.03,0.02,0.0302,0.028,0.0294,0.0259,41.38,37.0,45.9
Sample 2/29,EBO003,55612,55612,6656,48956,100.000,1.136,0.006,0.3605,0.3,0.08,0.04,0.02,0.01,0.0285,0.0243,0.028,0.0288,42.31,37.0,47.94
Sample 3/29,ECO002,2856699,2856699,333402,2523297,100.000,1.132,0.3113,2.8605,4.81,2.84,2.11,1.72,1.48,0.0401,0.0224,0.0398,0.0221,42.5,39.0,41.73
Sample 4/29,ECO004,2652123,2652123,405564,2246559,100.000,1.181,0.2627,1.906,5.65,3.14,2.35,1.94,1.65,0.0551,0.0295,0.0561,0.0301,40.28,37.0,41.18
Sample 5/29,EMN001,1240548,1240548,139447,1101101,100.000,1.127,0.1886,1.9874,4.04,2.1,1.47,1.15,0.96,0.0395,0.0304,0.0384,0.0291,59.0,54.0,44.62
Sample 6/29,FUM002,211193,211193,23167,188026,100.000,1.123,0.0245,0.2977,1.41,0.51,0.23,0.11,0.06,0.0486,0.0314,0.047,0.0317,44.91,40.0,43.88
Sample 7/29,GOY005,7942531,7942531,1668387,6274144,100.000,1.266,0.7751,6.9529,9.11,5.15,3.75,3.03,2.58,0.0366,0.0304,0.0345,0.031,42.56,39.0,45.11
Sample 8/29,JAE008,2310979,2310979,67480,2243499,100.000,1.030,0.5335,2.967,11.41,6.76,4.87,3.81,3.12,0.0229,0.022,0.0247,0.0235,81.91,76.0,42.62
Sample 9/29,JAE014,1572745,1572745,34682,1538063,100.000,1.023,0.3634,1.7726,11.29,6.24,4,2.78,2.04,0.0239,0.0227,0.0272,0.025,81.39,76.0,43.04
Sample 10/29,KNP001,350338,350338,41676,308662,100.000,1.135,0.0533,2.0212,1.19,0.56,0.32,0.2,0.14,0.0251,0.0263,0.0205,0.0251,59.44,56.0,40.18
Sample 11/29,KNP004,486688,486688,94228,392460,100.000,1.240,0.0747,3.0954,0.8,0.38,0.27,0.22,0.18,0.0271,0.0257,0.023,0.0244,65.6,64.0,39.54
Sample 12/29,KNP005,148803,148803,6396,142407,100.000,1.045,0.0263,1.3814,0.47,0.17,0.12,0.1,0.08,0.034,0.0323,0.0281,0.0306,63.64,57.0,38.41
