Taxon ID	Genus	Species	Strain/Culture collection	Seq ID	No. of contigs & singlets	Combined length (bp) *
389	Abiotrophia	defectiva	ATCC 49176	1595	26	3477404
874	Absconditabacteria (SR1) [G-1]	bacterium HMT 874	MGEHA	2626	61	1109502
343	Achromobacter	xylosoxidans	C54	2030	728	6294609
343	Achromobacter	xylosoxidans	NH44784-1996	2546	1	6916670
343	Achromobacter	xylosoxidans	A8	1926	3	7359146
343	Achromobacter	xylosoxidans	AXX-A	2029	160	6707795
343	Achromobacter	xylosoxidans	NBRC 15126 = ATCC 27061	2610	1	6683584
191	Acidipropionibacterium	acidifaciens	F0233	1851	334	3017605
191	Acidipropionibacterium	acidifaciens	DSM 21887	2583	87	3043431
209	Acidovorax	ebreus	tpsy	2863	1	3796573
216	Acidovorax	temperans	ky4	2893	141	4475784
554	Acinetobacter	baumannii	MDR-ZJ06	1486	2	4011434
554	Acinetobacter	baumannii	ACICU	1398	3	3996761
554	Acinetobacter	baumannii	AYE	1164	5	4048735
554	Acinetobacter	baumannii	SDF	1161	4	3477996
554	Acinetobacter	baumannii	ATCC 17978	1384	3	4001457
554	Acinetobacter	baumannii	AB307-0294	1622	1	3760981
554	Acinetobacter	baumannii	AB0057	1485	2	4059242
297	Acinetobacter	johnsonii	xbb1	2916	9	4081329
282	Acinetobacter	junii	65	2875	1	3378307
5	Acinetobacter	lwoffii	niph_512	2884	12	3384618
10	Acinetobacter	radioresistens	wc_a_157	2864	21	3209605
850	Actinomyces	cardiffensis	F0333	1667	42	2188900
888	Actinomyces	dentalis	DSM 19115	2573	97	3529652
617	Actinomyces	georgiae	F0490	1902	306	2477360
617	Actinomyces	georgiae	DSM 6843	2574	27	2493023
618	Actinomyces	gerencseriae	DSM 6844	2575	31	3418708
866	Actinomyces	graevenitzii	C83	2031	25	2196917
866	Actinomyces	graevenitzii	F0530	2450	91	2084752
645	Actinomyces	israelii	DSM 43320	2705	104	4024065
849	Actinomyces	johnsonii	F0542	2449	325	3321811
849	Actinomyces	johnsonii	F0330	1668	255	3385844
849	Actinomyces	johnsonii	F0510	2317	431	3377317
181	Actinomyces	lingnae [Not Validly Published]	F0379	1948	29	1905675
852	Actinomyces	massiliensis	4401292	2385	35	3348548
852	Actinomyces	massiliensis	F0489	1903	233	3416440
671	Actinomyces	meyeri	W712	2739	1	2049088
176	Actinomyces	naeslundii	str. Howell 279	2386	243	3114341
176	Actinomyces	naeslundii	MG1	1063	1	3042856
701	Actinomyces	odontolyticus	XH001	2804	5	2336123
701	Actinomyces	odontolyticus	F0309	1657	97	2422895
701	Actinomyces	odontolyticus	ATCC 17982, DSM 43331	1388	4	2393758
893	Actinomyces	oris	T14V	2806	1	3042917
893	Actinomyces	oris	K20	2431	771	2872429
746	Actinomyces	radicidentis	CCUG 36733	2781	1	3051613
170	Actinomyces	sp. HMT 170	F0386	1849	98	3135053
171	Actinomyces	sp. HMT 171	F0337	1693	530	2993299
172	Actinomyces	sp. HMT 172	F0311	2430	284	2459841
175	Actinomyces	sp. HMT 175	F0384	1848	7	3133330
178	Actinomyces	sp. HMT 178	F0338	1666	341	2733433
180	Actinomyces	sp. HMT 180	F0310	1647	45	2348120
414	Actinomyces	sp. HMT 414	F0588	2745	1	3836419
448	Actinomyces	sp. HMT 448	F0400	1701	69	2801370
877	Actinomyces	sp. HMT 877	F0543	2313	330	2712944
179	Actinomyces	timonensis	DSM 23838	2594	40	2913054
688	Actinomyces	viscosus	C505	2689	85	3126198
312	Aerococcus	viridans	fdaargos_249	2883	1	2003744
559	Afipia	broomeae	ATCC 49717	2411	6	5259998
