Pathway_name	Pathway_number	KOrtholog	Enzyme_name
Ubiquinone and other terpenoid-quinone biosynthesis	ko00130	K00815	tyrosine aminotransferase [EC:2.6.1.5]
Ubiquinone and other terpenoid-quinone biosynthesis	ko00130	K00838	aromatic amino acid aminotransferase I / 2-aminoadipate transaminase [EC:2.6.1.5 2.6.1.27 2.6.1.39 2.6.1.57]
Ubiquinone and other terpenoid-quinone biosynthesis	ko00130	K18606	hydroxyphenylpyruvate reductase [EC:1.1.1.237]
Ubiquinone and other terpenoid-quinone biosynthesis	ko00130	K00487	trans-cinnamate 4-monooxygenase [EC:1.14.14.91]
Ubiquinone and other terpenoid-quinone biosynthesis	ko00130	K01904	4-coumarate--CoA ligase [EC:6.2.1.12]
Ubiquinone and other terpenoid-quinone biosynthesis	ko00130	K01075	4-hydroxybenzoyl-CoA thioesterase [EC:3.1.2.23]
Ubiquinone and other terpenoid-quinone biosynthesis	ko00130	K03181	chorismate--pyruvate lyase [EC:4.1.3.40]
Ubiquinone and other terpenoid-quinone biosynthesis	ko00130	K18240	chorismate lyase / 3-hydroxybenzoate synthase [EC:4.1.3.45 4.1.3.40]
Ubiquinone and other terpenoid-quinone biosynthesis	ko00130	K03179	4-hydroxybenzoate polyprenyltransferase [EC:2.5.1.39]
Ubiquinone and other terpenoid-quinone biosynthesis	ko00130	K03182	4-hydroxy-3-polyprenylbenzoate decarboxylase [EC:4.1.1.98]
Ubiquinone and other terpenoid-quinone biosynthesis	ko00130	K03186	flavin prenyltransferase [EC:2.5.1.129]
Ubiquinone and other terpenoid-quinone biosynthesis	ko00130	K18800	2-polyprenylphenol 6-hydroxylase [EC:1.14.13.240]
Ubiquinone and other terpenoid-quinone biosynthesis	ko00130	K00568	2-polyprenyl-6-hydroxyphenyl methylase / 3-demethylubiquinone-9 3-methyltransferase [EC:2.1.1.64 2.1.1.222]
Ubiquinone and other terpenoid-quinone biosynthesis	ko00130	K03185	2-octaprenyl-6-methoxyphenol hydroxylase [EC:1.14.13.-]
Ubiquinone and other terpenoid-quinone biosynthesis	ko00130	K03183	demethylmenaquinone methyltransferase / 2-methoxy-6-polyprenyl-1,4-benzoquinol methylase [EC:2.1.1.201 2.1.1.163]
Ubiquinone and other terpenoid-quinone biosynthesis	ko00130	K03184	3-demethoxyubiquinol 3-hydroxylase [EC:1.14.99.60]
Ubiquinone and other terpenoid-quinone biosynthesis	ko00130	K06125	4-hydroxybenzoate polyprenyltransferase [EC:2.5.1.39]
Ubiquinone and other terpenoid-quinone biosynthesis	ko00130	K00591	polyprenyldihydroxybenzoate methyltransferase / 3-demethylubiquinol 3-O-methyltransferase [EC:2.1.1.64 2.1.1.114]
Ubiquinone and other terpenoid-quinone biosynthesis	ko00130	K06126	ubiquinone biosynthesis monooxygenase Coq6 [EC:1.14.13.-]
Ubiquinone and other terpenoid-quinone biosynthesis	ko00130	K06127	2-methoxy-6-polyprenyl-1,4-benzoquinol methylase [EC:2.1.1.201]
Ubiquinone and other terpenoid-quinone biosynthesis	ko00130	K06134	3-demethoxyubiquinol 3-hydroxylase [EC:1.14.99.60]
Ubiquinone and other terpenoid-quinone biosynthesis	ko00130	K01851	salicylate biosynthesis isochorismate synthase [EC:5.4.4.2]
Ubiquinone and other terpenoid-quinone biosynthesis	ko00130	K02552	menaquinone-specific isochorismate synthase [EC:5.4.4.2]
Ubiquinone and other terpenoid-quinone biosynthesis	ko00130	K02361	isochorismate synthase [EC:5.4.4.2]
Ubiquinone and other terpenoid-quinone biosynthesis	ko00130	K02551	2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase [EC:2.2.1.9]
Ubiquinone and other terpenoid-quinone biosynthesis	ko00130	K08680	2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase [EC:4.2.99.20]
Ubiquinone and other terpenoid-quinone biosynthesis	ko00130	K02549	O-succinylbenzoate synthase [EC:4.2.1.113]
Ubiquinone and other terpenoid-quinone biosynthesis	ko00130	K14759	isochorismate synthase / 2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase / 2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase / O-succinylbenzoate synthase [EC:4.2.1.113 4.2.99.20 2.2.1.9 5.4.4.2]
Ubiquinone and other terpenoid-quinone biosynthesis	ko00130	K01911	O-succinylbenzoic acid---CoA ligase [EC:6.2.1.26]
Ubiquinone and other terpenoid-quinone biosynthesis	ko00130	K14760	acyl-activating enzyme 14 [EC:6.2.1.26]
Ubiquinone and other terpenoid-quinone biosynthesis	ko00130	K01661	naphthoate synthase [EC:4.1.3.36]
Ubiquinone and other terpenoid-quinone biosynthesis	ko00130	K12073	1,4-dihydroxy-2-naphthoyl-CoA hydrolase [EC:3.1.2.28]
Ubiquinone and other terpenoid-quinone biosynthesis	ko00130	K19222	1,4-dihydroxy-2-naphthoyl-CoA hydrolase [EC:3.1.2.28]
Ubiquinone and other terpenoid-quinone biosynthesis	ko00130	K02548	1,4-dihydroxy-2-naphthoate polyprenyltransferase [EC:2.5.1.74]
Ubiquinone and other terpenoid-quinone biosynthesis	ko00130	K23094	2-carboxy-1,4-naphthoquinone phytyltransferase [EC:2.5.1.130]
Ubiquinone and other terpenoid-quinone biosynthesis	ko00130	K17872	demethylphylloquinone reductase [EC:1.6.5.12]
Ubiquinone and other terpenoid-quinone biosynthesis	ko00130	K23095	demethylphylloquinol methyltransferase [EC:2.1.1.329]
Ubiquinone and other terpenoid-quinone biosynthesis	ko00130	K11782	chorismate dehydratase [EC:4.2.1.151]
Ubiquinone and other terpenoid-quinone biosynthesis	ko00130	K18285	aminodeoxyfutalosine synthase [EC:2.5.1.120]
Ubiquinone and other terpenoid-quinone biosynthesis	ko00130	K18286	aminodeoxyfutalosine deaminase [EC:3.5.4.40]
Ubiquinone and other terpenoid-quinone biosynthesis	ko00130	K20810	aminodeoxyfutalosine deaminase [EC:3.5.4.40]
Ubiquinone and other terpenoid-quinone biosynthesis	ko00130	K11783	futalosine hydrolase [EC:3.2.2.26]
Ubiquinone and other terpenoid-quinone biosynthesis	ko00130	K18284	adenosylhomocysteine/aminodeoxyfutalosine nucleosidase [EC:3.2.2.30 3.2.2.9]
Ubiquinone and other terpenoid-quinone biosynthesis	ko00130	K11784	cyclic dehypoxanthinyl futalosine synthase [EC:1.21.98.1]
Ubiquinone and other terpenoid-quinone biosynthesis	ko00130	K11785	1,4-dihydroxy-6-naphthoate synthase [EC:1.14.-.-]
Ubiquinone and other terpenoid-quinone biosynthesis	ko00130	K00355	NAD(P)H dehydrogenase (quinone) [EC:1.6.5.2]
Ubiquinone and other terpenoid-quinone biosynthesis	ko00130	K03809	NAD(P)H dehydrogenase (quinone) [EC:1.6.5.2]
Ubiquinone and other terpenoid-quinone biosynthesis	ko00130	K19267	NAD(P)H dehydrogenase (quinone) [EC:1.6.5.2]
Ubiquinone and other terpenoid-quinone biosynthesis	ko00130	K10106	vitamin K-dependent gamma-carboxylase [EC:4.1.1.90]
Ubiquinone and other terpenoid-quinone biosynthesis	ko00130	K05357	vitamin-K-epoxide reductase (warfarin-sensitive) [EC:1.17.4.4]
Ubiquinone and other terpenoid-quinone biosynthesis	ko00130	K00457	4-hydroxyphenylpyruvate dioxygenase [EC:1.13.11.27]
Ubiquinone and other terpenoid-quinone biosynthesis	ko00130	K12501	homogentisate solanesyltransferase [EC:2.5.1.117]
Ubiquinone and other terpenoid-quinone biosynthesis	ko00130	K12502	MPBQ/MSBQ methyltransferase [EC:2.1.1.295]
Ubiquinone and other terpenoid-quinone biosynthesis	ko00130	K18534	MPBQ/MSBQ methyltransferase [EC:2.1.1.295]
Ubiquinone and other terpenoid-quinone biosynthesis	ko00130	K09833	homogentisate phytyltransferase / homogentisate geranylgeranyltransferase [EC:2.5.1.116 2.5.1.115]
Ubiquinone and other terpenoid-quinone biosynthesis	ko00130	K09834	tocopherol cyclase [EC:5.5.1.24]
Ubiquinone and other terpenoid-quinone biosynthesis	ko00130	K05928	tocopherol O-methyltransferase [EC:2.1.1.95]
Ubiquinone and other terpenoid-quinone biosynthesis	ko00130	K13565	4-hydroxybenzoate geranyltransferase [EC:2.5.1.93]
One carbon pool by folate	ko00670	K00287	dihydrofolate reductase [EC:1.5.1.3]
One carbon pool by folate	ko00670	K18589	dihydrofolate reductase (trimethoprim resistance protein) [EC:1.5.1.3]
One carbon pool by folate	ko00670	K19643	dihydrofolate reductase (trimethoprim resistance protein) [EC:1.5.1.3]
One carbon pool by folate	ko00670	K18590	dihydrofolate reductase (trimethoprim resistance protein) [EC:1.5.1.3]
