1852361#Actinomyces bouchesdurhonensis#strain#Marseille-P2825
1658#Actinomyces bovis#strain|serovar|type_material|note#NCTC11535|not available: to be reported later|type strain of Actinomyces bovis|contig: ERS1275652SCcontig000012
1658#Actinomyces bovis#strain|serovar|type_material|note#NCTC11535|not available: to be reported later|type strain of Actinomyces bovis|contig: ERS1275652SCcontig000011
1658#Actinomyces bovis#strain|serovar|type_material|note#NCTC11535|not available: to be reported later|type strain of Actinomyces bovis|contig: ERS1275652SCcontig000010
1658#Actinomyces bovis#strain|serovar|type_material|note#NCTC11535|not available: to be reported later|type strain of Actinomyces bovis|contig: ERS1275652SCcontig000009
1658#Actinomyces bovis#strain|serovar|type_material|note#NCTC11535|not available: to be reported later|type strain of Actinomyces bovis|contig: ERS1275652SCcontig000008
1658#Actinomyces bovis#strain|serovar|type_material|note#NCTC11535|not available: to be reported later|type strain of Actinomyces bovis|contig: ERS1275652SCcontig000007
1658#Actinomyces bovis#strain|serovar|type_material|note#NCTC11535|not available: to be reported later|type strain of Actinomyces bovis|contig: ERS1275652SCcontig000006
1658#Actinomyces bovis#strain|serovar|type_material|note#NCTC11535|not available: to be reported later|type strain of Actinomyces bovis|contig: ERS1275652SCcontig000005
1658#Actinomyces bovis#strain|serovar|type_material|note#NCTC11535|not available: to be reported later|type strain of Actinomyces bovis|contig: ERS1275652SCcontig000004
1658#Actinomyces bovis#strain|serovar|type_material|note#NCTC11535|not available: to be reported later|type strain of Actinomyces bovis|contig: ERS1275652SCcontig000003
1658#Actinomyces bovis#strain|serovar|type_material|note#NCTC11535|not available: to be reported later|type strain of Actinomyces bovis|contig: ERS1275652SCcontig000002
1658#Actinomyces bovis#strain|serovar|type_material|note#NCTC11535|not available: to be reported later|type strain of Actinomyces bovis|contig: ERS1275652SCcontig000001
1658#Actinomyces bovis#strain|serovar|type_material#NCTC11535|not available: to be reported later|type strain of Actinomyces bovis
1658#Actinomyces bovis#strain|serovar|type_material|note#NCTC11535|not available: to be reported later|type strain of Actinomyces bovis|contig: ERS1275652SCcontig000001
1658#Actinomyces bovis#strain|serovar|type_material|note#NCTC11535|not available: to be reported later|type strain of Actinomyces bovis|contig: ERS1275652SCcontig000002
1658#Actinomyces bovis#strain|serovar|type_material|note#NCTC11535|not available: to be reported later|type strain of Actinomyces bovis|contig: ERS1275652SCcontig000003
1658#Actinomyces bovis#strain|serovar|type_material|note#NCTC11535|not available: to be reported later|type strain of Actinomyces bovis|contig: ERS1275652SCcontig000004
1658#Actinomyces bovis#strain|serovar|type_material|note#NCTC11535|not available: to be reported later|type strain of Actinomyces bovis|contig: ERS1275652SCcontig000005
1658#Actinomyces bovis#strain|serovar|type_material|note#NCTC11535|not available: to be reported later|type strain of Actinomyces bovis|contig: ERS1275652SCcontig000006
1658#Actinomyces bovis#strain|serovar|type_material|note#NCTC11535|not available: to be reported later|type strain of Actinomyces bovis|contig: ERS1275652SCcontig000007
1658#Actinomyces bovis#strain|serovar|type_material|note#NCTC11535|not available: to be reported later|type strain of Actinomyces bovis|contig: ERS1275652SCcontig000008
1658#Actinomyces bovis#strain|serovar|type_material|note#NCTC11535|not available: to be reported later|type strain of Actinomyces bovis|contig: ERS1275652SCcontig000009
1658#Actinomyces bovis#strain|serovar|type_material|note#NCTC11535|not available: to be reported later|type strain of Actinomyces bovis|contig: ERS1275652SCcontig000010
1658#Actinomyces bovis#strain|serovar|type_material|note#NCTC11535|not available: to be reported later|type strain of Actinomyces bovis|contig: ERS1275652SCcontig000011
1658#Actinomyces bovis#strain|serovar|type_material|note#NCTC11535|not available: to be reported later|type strain of Actinomyces bovis|contig: ERS1275652SCcontig000012
888050#Actinomyces cardiffensis F0333#strain|host|country|isolation_source#F0333|Homo sapiens|United Kingdom|oral
525245#Actinomyces coleocanis DSM 15436#strain|host|culture_collection|isolation_source#DSM 15436|Homo sapiens|DSM:15436|biological product [ENVO:02000043]
525245#Actinomyces coleocanis DSM 15436#strain#DSM 15436
525245#Actinomyces coleocanis DSM 15436#strain|culture_collection#DSM 15436|DSM:15436
1926276#Actinomyces culturomici#strain|isolation_source#Marseille-P3575|sputum
1926276#Actinomyces culturomici#strain#Marseille-P3575
1120941#Actinomyces dentalis DSM 19115#strain|host|culture_collection|country|lat_lon|collection_date#DSM 19115|Homo sapiens|DSM:19115|United Kingdom|55.9578 N 3.18747 W|2003
1120941#Actinomyces dentalis DSM 19115#strain|culture_collection#DSM 19115|DSM:19115
52767#Actinomyces denticolens#strain|note#PA|contig: Ga0104373_133
52767#Actinomyces denticolens#strain|note#PA|contig: Ga0104373_132
52767#Actinomyces denticolens#strain|note#PA|contig: Ga0104373_131
52767#Actinomyces denticolens#strain|note#PA|contig: Ga0104373_130
52767#Actinomyces denticolens#strain|note#PA|contig: Ga0104373_129
52767#Actinomyces denticolens#strain|note#PA|contig: Ga0104373_128
52767#Actinomyces denticolens#strain|note#PA|contig: Ga0104373_127
52767#Actinomyces denticolens#strain|note#PA|contig: Ga0104373_126
52767#Actinomyces denticolens#strain|note#PA|contig: Ga0104373_125
52767#Actinomyces denticolens#strain|note#PA|contig: Ga0104373_124
52767#Actinomyces denticolens#strain|note#PA|contig: Ga0104373_123
52767#Actinomyces denticolens#strain|note#PA|contig: Ga0104373_122
52767#Actinomyces denticolens#strain|note#PA|contig: Ga0104373_121
52767#Actinomyces denticolens#strain|note#PA|contig: Ga0104373_120
52767#Actinomyces denticolens#strain|note#PA|contig: Ga0104373_119
52767#Actinomyces denticolens#strain|note#PA|contig: Ga0104373_118
52767#Actinomyces denticolens#strain|note#PA|contig: Ga0104373_117
52767#Actinomyces denticolens#strain|note#PA|contig: Ga0104373_116
52767#Actinomyces denticolens#strain|note#PA|contig: Ga0104373_115
52767#Actinomyces denticolens#strain|note#PA|contig: Ga0104373_114
52767#Actinomyces denticolens#strain|note#PA|contig: Ga0104373_113
52767#Actinomyces denticolens#strain|note#PA|contig: Ga0104373_112
52767#Actinomyces denticolens#strain|note#PA|contig: Ga0104373_111
52767#Actinomyces denticolens#strain|note#PA|contig: Ga0104373_110
52767#Actinomyces denticolens#strain|note#PA|contig: Ga0104373_109
52767#Actinomyces denticolens#strain|note#PA|contig: Ga0104373_108
52767#Actinomyces denticolens#strain|note#PA|contig: Ga0104373_107
52767#Actinomyces denticolens#strain|note#PA|contig: Ga0104373_106
52767#Actinomyces denticolens#strain|note#PA|contig: Ga0104373_105
52767#Actinomyces denticolens#strain|note#PA|contig: Ga0104373_104
52767#Actinomyces denticolens#strain|note#PA|contig: Ga0104373_103
52767#Actinomyces denticolens#strain|note#PA|contig: Ga0104373_102
52767#Actinomyces denticolens#strain|note#PA|contig: Ga0104373_101
52767#Actinomyces denticolens#strain#PA
52767#Actinomyces denticolens#strain|note#PA|contig: Ga0104373_101
52767#Actinomyces denticolens#strain|note#PA|contig: Ga0104373_102
52767#Actinomyces denticolens#strain|note#PA|contig: Ga0104373_103
52767#Actinomyces denticolens#strain|note#PA|contig: Ga0104373_104
52767#Actinomyces denticolens#strain|note#PA|contig: Ga0104373_105
52767#Actinomyces denticolens#strain|note#PA|contig: Ga0104373_106
52767#Actinomyces denticolens#strain|note#PA|contig: Ga0104373_107
52767#Actinomyces denticolens#strain|note#PA|contig: Ga0104373_108
52767#Actinomyces denticolens#strain|note#PA|contig: Ga0104373_109
52767#Actinomyces denticolens#strain|note#PA|contig: Ga0104373_110
52767#Actinomyces denticolens#strain|note#PA|contig: Ga0104373_111
52767#Actinomyces denticolens#strain|note#PA|contig: Ga0104373_112
52767#Actinomyces denticolens#strain|note#PA|contig: Ga0104373_113
52767#Actinomyces denticolens#strain|note#PA|contig: Ga0104373_114
52767#Actinomyces denticolens#strain|note#PA|contig: Ga0104373_115
52767#Actinomyces denticolens#strain|note#PA|contig: Ga0104373_116
52767#Actinomyces denticolens#strain|note#PA|contig: Ga0104373_117
52767#Actinomyces denticolens#strain|note#PA|contig: Ga0104373_118
52767#Actinomyces denticolens#strain|note#PA|contig: Ga0104373_119
52767#Actinomyces denticolens#strain|note#PA|contig: Ga0104373_120
52767#Actinomyces denticolens#strain|note#PA|contig: Ga0104373_121
52767#Actinomyces denticolens#strain|note#PA|contig: Ga0104373_122
52767#Actinomyces denticolens#strain|note#PA|contig: Ga0104373_123
52767#Actinomyces denticolens#strain|note#PA|contig: Ga0104373_124
52767#Actinomyces denticolens#strain|note#PA|contig: Ga0104373_125
52767#Actinomyces denticolens#strain|note#PA|contig: Ga0104373_126
52767#Actinomyces denticolens#strain|note#PA|contig: Ga0104373_127
52767#Actinomyces denticolens#strain|note#PA|contig: Ga0104373_128
52767#Actinomyces denticolens#strain|note#PA|contig: Ga0104373_129
52767#Actinomyces denticolens#strain|note#PA|contig: Ga0104373_130
52767#Actinomyces denticolens#strain|note#PA|contig: Ga0104373_131
52767#Actinomyces denticolens#strain|note#PA|contig: Ga0104373_132
52767#Actinomyces denticolens#strain|note#PA|contig: Ga0104373_133
883069#Actinomyces europaeus ACS-120-V-Col10b#strain#ACS-120-V-Col10b
1960083#Actinomyces gaoshouyii#strain|host|country|collection_date#pika_114|pika|China|31-Oct-2015
1120942#Actinomyces georgiae DSM 6843#strain|host|culture_collection|country#DSM 6843|Homo sapiens|DSM:6843|USA
1120942#Actinomyces georgiae DSM 6843#strain|culture_collection#DSM 6843|DSM:6843
1120943#Actinomyces gerencseriae DSM 6844#strain|culture_collection|country|lat_lon#DSM 6844|DSM:6844|USA|44.0289 N 92.4685 W
1120943#Actinomyces gerencseriae DSM 6844#strain|culture_collection#DSM 6844|DSM:6844
1892869#Actinomyces glycerinitolerans#isolate|note#G10_assembly1|contig: scaffold_19
1892869#Actinomyces glycerinitolerans#isolate|note#G10_assembly1|contig: scaffold_18
1892869#Actinomyces glycerinitolerans#isolate|note#G10_assembly1|contig: scaffold_17
1892869#Actinomyces glycerinitolerans#isolate|note#G10_assembly1|contig: scaffold_16
1892869#Actinomyces glycerinitolerans#isolate|note#G10_assembly1|contig: scaffold_15
1892869#Actinomyces glycerinitolerans#isolate|note#G10_assembly1|contig: scaffold_14
1892869#Actinomyces glycerinitolerans#isolate|note#G10_assembly1|contig: scaffold_13
1892869#Actinomyces glycerinitolerans#isolate|note#G10_assembly1|contig: scaffold_12
1892869#Actinomyces glycerinitolerans#isolate|note#G10_assembly1|contig: scaffold_11
1892869#Actinomyces glycerinitolerans#isolate|note#G10_assembly1|contig: scaffold_10
1892869#Actinomyces glycerinitolerans#isolate|note#G10_assembly1|contig: scaffold_09
1892869#Actinomyces glycerinitolerans#isolate|note#G10_assembly1|contig: scaffold_08
1892869#Actinomyces glycerinitolerans#isolate|note#G10_assembly1|contig: scaffold_07
1892869#Actinomyces glycerinitolerans#isolate|note#G10_assembly1|contig: scaffold_06
1892869#Actinomyces glycerinitolerans#isolate|note#G10_assembly1|contig: scaffold_05
1892869#Actinomyces glycerinitolerans#isolate|note#G10_assembly1|contig: scaffold_04
1892869#Actinomyces glycerinitolerans#isolate|note#G10_assembly1|contig: scaffold_03
1892869#Actinomyces glycerinitolerans#isolate|note#G10_assembly1|contig: scaffold_02
1892869#Actinomyces glycerinitolerans#isolate|note#G10_assembly1|contig: scaffold_01
1892869#Actinomyces glycerinitolerans#isolate#G10_assembly1
1892869#Actinomyces glycerinitolerans#isolate|note#G10_assembly1|contig: scaffold_01
1892869#Actinomyces glycerinitolerans#isolate|note#G10_assembly1|contig: scaffold_02
1892869#Actinomyces glycerinitolerans#isolate|note#G10_assembly1|contig: scaffold_03
1892869#Actinomyces glycerinitolerans#isolate|note#G10_assembly1|contig: scaffold_04
1892869#Actinomyces glycerinitolerans#isolate|note#G10_assembly1|contig: scaffold_05
1892869#Actinomyces glycerinitolerans#isolate|note#G10_assembly1|contig: scaffold_06
