KOrtholog	Pathway_name	Pathway_number	Enzyme_name
K00003	Glycine, serine and threonine metabolism	ko00260	homoserine dehydrogenase [EC:1.1.1.3]
K00003	Cysteine and methionine metabolism	ko00270	homoserine dehydrogenase [EC:1.1.1.3]
K00003	Lysine biosynthesis	ko00300	homoserine dehydrogenase [EC:1.1.1.3]
K00013	Histidine metabolism	ko00340	histidinol dehydrogenase [EC:1.1.1.23]
K00014	Phenylalanine, tyrosine and tryptophan biosynthesis	ko00400	shikimate dehydrogenase [EC:1.1.1.25]
K00016	Cysteine and methionine metabolism	ko00270	L-lactate dehydrogenase [EC:1.1.1.27]
K00018	Glycine, serine and threonine metabolism	ko00260	glycerate dehydrogenase [EC:1.1.1.29]
K00020	Valine, leucine and isoleucine degradation	ko00280	3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31]
K00024	Cysteine and methionine metabolism	ko00270	malate dehydrogenase [EC:1.1.1.37]
K00031	Glutathione metabolism	ko00480	isocitrate dehydrogenase [EC:1.1.1.42]
K00033	Glutathione metabolism	ko00480	6-phosphogluconate dehydrogenase [EC:1.1.1.343 1.1.1.44]
K00036	Glutathione metabolism	ko00480	glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.363 1.1.1.49]
K00052	Valine, leucine and isoleucine biosynthesis	ko00290	3-isopropylmalate dehydrogenase [EC:1.1.1.85]
K00053	Valine, leucine and isoleucine biosynthesis	ko00290	ketol-acid reductoisomerase [EC:1.1.1.86]
K00058	Glycine, serine and threonine metabolism	ko00260	D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase [EC:1.1.1.399 1.1.1.95]
K00058	Cysteine and methionine metabolism	ko00270	D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase [EC:1.1.1.399 1.1.1.95]
K00060	Glycine, serine and threonine metabolism	ko00260	threonine 3-dehydrogenase [EC:1.1.1.103]
K00074	Phenylalanine metabolism	ko00360	3-hydroxybutyryl-CoA dehydrogenase [EC:1.1.1.157]
K00108	Glycine, serine and threonine metabolism	ko00260	choline dehydrogenase [EC:1.1.99.1]
K00121	Tyrosine metabolism	ko00350	S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.1 1.1.1.284]
K00128	Valine, leucine and isoleucine degradation	ko00280	aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]
K00128	Lysine degradation	ko00310	aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]
K00128	Arginine and proline metabolism	ko00330	aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]
K00128	Histidine metabolism	ko00340	aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]
K00128	Tryptophan metabolism	ko00380	aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]
K00128	beta-Alanine metabolism	ko00410	aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]
K00130	Glycine, serine and threonine metabolism	ko00260	betaine-aldehyde dehydrogenase [EC:1.2.1.8]
K00133	Glycine, serine and threonine metabolism	ko00260	aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]
K00133	Cysteine and methionine metabolism	ko00270	aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]
K00133	Lysine biosynthesis	ko00300	aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]
K00135	Alanine, aspartate and glutamate metabolism	ko00250	succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase [EC:1.2.1.20 1.2.1.79 1.2.1.16]
K00135	Lysine degradation	ko00310	succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase [EC:1.2.1.20 1.2.1.79 1.2.1.16]
K00135	Tyrosine metabolism	ko00350	succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase [EC:1.2.1.20 1.2.1.79 1.2.1.16]
K00140	Valine, leucine and isoleucine degradation	ko00280	malonate-semialdehyde dehydrogenase (acetylating) / methylmalonate-semialdehyde dehydrogenase [EC:1.2.1.27 1.2.1.18]
K00140	beta-Alanine metabolism	ko00410	malonate-semialdehyde dehydrogenase (acetylating) / methylmalonate-semialdehyde dehydrogenase [EC:1.2.1.27 1.2.1.18]
K00145	Arginine biosynthesis	ko00220	N-acetyl-gamma-glutamyl-phosphate reductase [EC:1.2.1.38]
K00147	Arginine and proline metabolism	ko00330	glutamate-5-semialdehyde dehydrogenase [EC:1.2.1.41]
K00215	Lysine biosynthesis	ko00300	4-hydroxy-tetrahydrodipicolinate reductase [EC:1.17.1.8]
K00248	Valine, leucine and isoleucine degradation	ko00280	butyryl-CoA dehydrogenase [EC:1.3.8.1]
K00248	beta-Alanine metabolism	ko00410	butyryl-CoA dehydrogenase [EC:1.3.8.1]
K00249	Valine, leucine and isoleucine degradation	ko00280	acyl-CoA dehydrogenase [EC:1.3.8.7]
K00252	Lysine degradation	ko00310	glutaryl-CoA dehydrogenase [EC:1.3.8.6]
K00252	Tryptophan metabolism	ko00380	glutaryl-CoA dehydrogenase [EC:1.3.8.6]
K00253	Valine, leucine and isoleucine degradation	ko00280	isovaleryl-CoA dehydrogenase [EC:1.3.8.4]
K00259	Alanine, aspartate and glutamate metabolism	ko00250	alanine dehydrogenase [EC:1.4.1.1]
K00259	Taurine and hypotaurine metabolism	ko00430	alanine dehydrogenase [EC:1.4.1.1]
K00260	Arginine biosynthesis	ko00220	glutamate dehydrogenase [EC:1.4.1.2]
K00260	Alanine, aspartate and glutamate metabolism	ko00250	glutamate dehydrogenase [EC:1.4.1.2]
K00260	Taurine and hypotaurine metabolism	ko00430	glutamate dehydrogenase [EC:1.4.1.2]
K00261	Arginine biosynthesis	ko00220	glutamate dehydrogenase (NAD(P)+) [EC:1.4.1.3]
K00261	Alanine, aspartate and glutamate metabolism	ko00250	glutamate dehydrogenase (NAD(P)+) [EC:1.4.1.3]
K00261	D-Glutamine and D-glutamate metabolism	ko00471	glutamate dehydrogenase (NAD(P)+) [EC:1.4.1.3]
K00262	Arginine biosynthesis	ko00220	glutamate dehydrogenase (NADP+) [EC:1.4.1.4]
K00262	Alanine, aspartate and glutamate metabolism	ko00250	glutamate dehydrogenase (NADP+) [EC:1.4.1.4]
K00266	Alanine, aspartate and glutamate metabolism	ko00250	glutamate synthase (NADPH) small chain [EC:1.4.1.13]
K00274	Glycine, serine and threonine metabolism	ko00260	monoamine oxidase [EC:1.4.3.4]
K00274	Arginine and proline metabolism	ko00330	monoamine oxidase [EC:1.4.3.4]
K00274	Histidine metabolism	ko00340	monoamine oxidase [EC:1.4.3.4]
K00274	Tyrosine metabolism	ko00350	monoamine oxidase [EC:1.4.3.4]
K00274	Phenylalanine metabolism	ko00360	monoamine oxidase [EC:1.4.3.4]
K00274	Tryptophan metabolism	ko00380	monoamine oxidase [EC:1.4.3.4]
K00278	Alanine, aspartate and glutamate metabolism	ko00250	L-aspartate oxidase [EC:1.4.3.16]
K00281	Glycine, serine and threonine metabolism	ko00260	glycine dehydrogenase [EC:1.4.4.2]
K00282	Glycine, serine and threonine metabolism	ko00260	glycine dehydrogenase subunit 1 [EC:1.4.4.2]
K00283	Glycine, serine and threonine metabolism	ko00260	glycine dehydrogenase subunit 2 [EC:1.4.4.2]
K00285	Phenylalanine metabolism	ko00360	D-amino-acid dehydrogenase [EC:1.4.5.1]
K00286	Arginine and proline metabolism	ko00330	pyrroline-5-carboxylate reductase [EC:1.5.1.2]
K00290	Lysine biosynthesis	ko00300	saccharopine dehydrogenase (NAD+, L-lysine forming) [EC:1.5.1.7]
K00290	Lysine degradation	ko00310	saccharopine dehydrogenase (NAD+, L-lysine forming) [EC:1.5.1.7]
K00294	Alanine, aspartate and glutamate metabolism	ko00250	1-pyrroline-5-carboxylate dehydrogenase [EC:1.2.1.88]
K00294	Arginine and proline metabolism	ko00330	1-pyrroline-5-carboxylate dehydrogenase [EC:1.2.1.88]
K00318	Arginine and proline metabolism	ko00330	proline dehydrogenase [EC:1.5.5.2]
K00382	Glycine, serine and threonine metabolism	ko00260	dihydrolipoamide dehydrogenase [EC:1.8.1.4]
K00382	Valine, leucine and isoleucine degradation	ko00280	dihydrolipoamide dehydrogenase [EC:1.8.1.4]
K00382	Lysine degradation	ko00310	dihydrolipoamide dehydrogenase [EC:1.8.1.4]
K00382	Tryptophan metabolism	ko00380	dihydrolipoamide dehydrogenase [EC:1.8.1.4]
K00383	Glutathione metabolism	ko00480	glutathione reductase (NADPH) [EC:1.8.1.7]
K00384	Selenocompound metabolism	ko00450	thioredoxin reductase (NADPH) [EC:1.8.1.9]
K00432	Glutathione metabolism	ko00480	glutathione peroxidase [EC:1.11.1.9]
K00486	Tryptophan metabolism	ko00380	kynurenine 3-monooxygenase [EC:1.14.13.9]
K00547	Cysteine and methionine metabolism	ko00270	homocysteine S-methyltransferase [EC:2.1.1.10]
K00548	Cysteine and methionine metabolism	ko00270	5-methyltetrahydrofolate--homocysteine methyltransferase [EC:2.1.1.13]
K00548	Selenocompound metabolism	ko00450	5-methyltetrahydrofolate--homocysteine methyltransferase [EC:2.1.1.13]
K00549	Cysteine and methionine metabolism	ko00270	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase [EC:2.1.1.14]
K00549	Selenocompound metabolism	ko00450	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase [EC:2.1.1.14]
K00558	Cysteine and methionine metabolism	ko00270	DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]
K00600	Glycine, serine and threonine metabolism	ko00260	glycine hydroxymethyltransferase [EC:2.1.2.1]
K00600	Cyanoamino acid metabolism	ko00460	glycine hydroxymethyltransferase [EC:2.1.2.1]
K00603	Histidine metabolism	ko00340	glutamate formiminotransferase / 5-formyltetrahydrofolate cyclo-ligase [EC:6.3.3.2 2.1.2.5]
K00605	Glycine, serine and threonine metabolism	ko00260	aminomethyltransferase [EC:2.1.2.10]
K00609	Alanine, aspartate and glutamate metabolism	ko00250	aspartate carbamoyltransferase catalytic subunit [EC:2.1.3.2]
K00610	Alanine, aspartate and glutamate metabolism	ko00250	aspartate carbamoyltransferase regulatory subunit
K00611	Arginine biosynthesis	ko00220	ornithine carbamoyltransferase [EC:2.1.3.3]
K00613	Glycine, serine and threonine metabolism	ko00260	glycine amidinotransferase [EC:2.1.4.1]
K00613	Arginine and proline metabolism	ko00330	glycine amidinotransferase [EC:2.1.4.1]
K00620	Arginine biosynthesis	ko00220	glutamate N-acetyltransferase / amino-acid N-acetyltransferase [EC:2.3.1.1 2.3.1.35]
K00625	Taurine and hypotaurine metabolism	ko00430	phosphate acetyltransferase [EC:2.3.1.8]
K00626	Valine, leucine and isoleucine degradation	ko00280	acetyl-CoA C-acetyltransferase [EC:2.3.1.9]
K00626	Lysine degradation	ko00310	acetyl-CoA C-acetyltransferase [EC:2.3.1.9]
K00626	Tryptophan metabolism	ko00380	acetyl-CoA C-acetyltransferase [EC:2.3.1.9]
K00632	Valine, leucine and isoleucine degradation	ko00280	acetyl-CoA acyltransferase [EC:2.3.1.16]
K00639	Glycine, serine and threonine metabolism	ko00260	glycine C-acetyltransferase [EC:2.3.1.29]
K00640	Cysteine and methionine metabolism	ko00270	serine O-acetyltransferase [EC:2.3.1.30]
K00641	Cysteine and methionine metabolism	ko00270	homoserine O-acetyltransferase/O-succinyltransferase [EC:2.3.1.46 2.3.1.31]
K00651	Cysteine and methionine metabolism	ko00270	homoserine O-succinyltransferase/O-acetyltransferase [EC:2.3.1.31 2.3.1.46]
K00657	Arginine and proline metabolism	ko00330	diamine N-acetyltransferase [EC:2.3.1.57]
K00658	Lysine degradation	ko00310	2-oxoglutarate dehydrogenase E2 component (dihydrolipoamide succinyltransferase) [EC:2.3.1.61]
K00658	Tryptophan metabolism	ko00380	2-oxoglutarate dehydrogenase E2 component (dihydrolipoamide succinyltransferase) [EC:2.3.1.61]
K00674	Lysine biosynthesis	ko00300	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase [EC:2.3.1.117]
K00681	Taurine and hypotaurine metabolism	ko00430	gamma-glutamyltranspeptidase / glutathione hydrolase [EC:3.4.19.13 2.3.2.2]
K00681	Cyanoamino acid metabolism	ko00460	gamma-glutamyltranspeptidase / glutathione hydrolase [EC:3.4.19.13 2.3.2.2]
K00681	Glutathione metabolism	ko00480	gamma-glutamyltranspeptidase / glutathione hydrolase [EC:3.4.19.13 2.3.2.2]
K00764	Alanine, aspartate and glutamate metabolism	ko00250	amidophosphoribosyltransferase [EC:2.4.2.14]
K00765	Histidine metabolism	ko00340	ATP phosphoribosyltransferase [EC:2.4.2.17]
K00766	Phenylalanine, tyrosine and tryptophan biosynthesis	ko00400	anthranilate phosphoribosyltransferase [EC:2.4.2.18]
K00772	Cysteine and methionine metabolism	ko00270	5'-methylthioadenosine phosphorylase [EC:2.4.2.28]
K00789	Cysteine and methionine metabolism	ko00270	S-adenosylmethionine synthetase [EC:2.5.1.6]
K00797	Cysteine and methionine metabolism	ko00270	spermidine synthase [EC:2.5.1.16]
K00797	Arginine and proline metabolism	ko00330	spermidine synthase [EC:2.5.1.16]
K00797	beta-Alanine metabolism	ko00410	spermidine synthase [EC:2.5.1.16]
K00797	Glutathione metabolism	ko00480	spermidine synthase [EC:2.5.1.16]
K00799	Glutathione metabolism	ko00480	glutathione S-transferase [EC:2.5.1.18]
K00800	Phenylalanine, tyrosine and tryptophan biosynthesis	ko00400	3-phosphoshikimate 1-carboxyvinyltransferase [EC:2.5.1.19]
K00812	Arginine biosynthesis	ko00220	aspartate aminotransferase [EC:2.6.1.1]
K00812	Alanine, aspartate and glutamate metabolism	ko00250	aspartate aminotransferase [EC:2.6.1.1]
K00812	Cysteine and methionine metabolism	ko00270	aspartate aminotransferase [EC:2.6.1.1]
K00812	Arginine and proline metabolism	ko00330	aspartate aminotransferase [EC:2.6.1.1]
K00812	Tyrosine metabolism	ko00350	aspartate aminotransferase [EC:2.6.1.1]
K00812	Phenylalanine metabolism	ko00360	aspartate aminotransferase [EC:2.6.1.1]
K00812	Phenylalanine, tyrosine and tryptophan biosynthesis	ko00400	aspartate aminotransferase [EC:2.6.1.1]
K00813	Arginine biosynthesis	ko00220	aspartate aminotransferase [EC:2.6.1.1]
K00813	Alanine, aspartate and glutamate metabolism	ko00250	aspartate aminotransferase [EC:2.6.1.1]
K00813	Cysteine and methionine metabolism	ko00270	aspartate aminotransferase [EC:2.6.1.1]
K00813	Arginine and proline metabolism	ko00330	aspartate aminotransferase [EC:2.6.1.1]
