Accession	Hit end	Hit start	Gene	Reference
CP023511	472145	474094	abpB	Yes
AFUD01000045	4983	6728	abpB	Yes
NZ_AJMV01000094	11034	9088	abpB	Yes
NZ_AFUE01000005	92255	90297	abpB	Yes
NZ_KI391976	467537	465585	abpB	Yes
NC_009785	171195	173153	abpB	Yes
NC_017905	2003404	2001476	abpB	Yes
NC_022584	916430	914685	abpB	Yes
NZ_JMRV01000030	20614	22560	abpB	Yes
NZ_JYGJ01000006	220508	222466	abpB	Yes
NZ_CP017295	343490	345448	abpB	Yes
NZ_JYGN01000002	490062	488104	abpB	Yes
NZ_JYOW01000001	1684130	1682148	abpB	Yes
NZ_JYOZ01000001	185935	187893	abpB	Yes
NZ_JVSO01000043	18786	20768	abpB	Yes
JVKT01000015	10422	12350	abpB	No
JUPF01000119	9118	11046	abpB	No
JVGP01000003	10486	12414	abpB	No
JVVK01000098	4903	6849	abpB	No
KV812846	4429	6375	abpB	No
JUYP01000009	2325	325	abpB	No
CP002843	1420813	1422741	abpB	No
LAWB01000064	2211	283	abpB	No
PKIC01000011	9900	7972	abpB	No
JUTV01000123	2220	292	abpB	No
JWGF01000086	71689	69740	abpB	No
KV790983	489888	491846	abpB	No
LAWF01000005	29035	27086	abpB	No
LAYG01000006	362491	364449	abpB	No
JYGL01000002	184722	182773	abpB	No
LAWA01000001	460376	462334	abpB	No
KQ759746	457724	459682	abpB	No
LQWV01000012	175112	173163	abpB	No
CP017295	345439	343490	abpB	No
LAWL01000016	63	2021	abpB	No
CP000725	173144	171195	abpB	No
CP012648	476823	478772	abpB	No
JUTP01000116	6725	8683	abpB	No
JYOZ01000001	187884	185935	abpB	No
LAVY01000007	16203	14254	abpB	No
LAVZ01000016	16954	18903	abpB	No
LAWJ01000006	49864	51822	abpB	No
LAWN01000001	95188	93239	abpB	No
LAWP01000006	445313	447271	abpB	No
JUSY01000044	6735	8693	abpB	No
LAWR01000002	47431	49389	abpB	No
NZ_AFUD01000040	33814	31868	abpB	No
LAWO01000002	31049	31669	apbA	Yes
PKIC01000008	117411	118034	apbA	Yes
JYOW01000001	1872962	1872336	apbA	Yes
JUOS01000106	1576	2217	apbA	Yes
CP023511	667612	667025	apbA	Yes
AP018338	1852835	1853482	apbA	Yes
NC_009785	2167996	2167409	apbA	Yes
NC_015678	1615629	1616252	apbA	Yes
NZ_AFUE01000002	7529	8164	apbA	Yes
NZ_JMRV01000012	14336	13707	apbA	Yes
NZ_JPGA01000003	13111	13743	apbA	Yes
NZ_JVFV01000019	8667	8026	apbA	Yes
NZ_JVKP01000009	5346	5945	apbA	Yes
NZ_JVKV01000054	10835	11467	apbA	Yes
NZ_JYGM01000010	41984	42631	apbA	Yes
NZ_JYOY01000008	20381	19743	apbA	Yes
JUVN01000006	13739	14377	apbA	No
JWGF01000042	1886	1260	apbA	No
AFUD01000015	4596	3979	apbA	No
JVIX01000082	22416	23030	apbA	No
KV812850	78208	78828	apbA	No
JVKT01000065	71461	72084	apbA	No
JUPF01000116	53651	54274	apbA	No
JUTV01000084	63942	64565	apbA	No
JUYP01000113	61792	62397	apbA	No
JVGP01000035	5308	4685	apbA	No
JVVK01000087	4988	4389	apbA	No
JVHE01000081	11326	10688	apbA	No
CP020450	815122	814535	apbA	No
JUSY01000041	4884	4297	apbA	No
JUTP01000060	4763	4164	apbA	No
AORX01000004	8697	8065	apbA	No
NCUC01000010	8333	7701	apbA	No
JYGT01000002	13822	13184	apbA	No
ALCH01000001	13958	13329	apbA	No
AFNN01000012	38353	39012	apbA	No
NC_015760	117442	118080	apbA	No
NZ_AFUO01000001	1200080	1199445	apbA	No
NZ_AJML01000015	11936	12580	apbA	No
NZ_JWAJ01000140	8607	7921	apbA	No
NZ_JYGU01000004	8062	8709	apbA	No
