"protein"
"Pyrroline-5-carboxylate reductase (EC 1.5.1.2)"
"Alanine racemase (EC 5.1.1.1)"
"Branched-chain amino acid aminotransferase (EC 2.6.1.42)"
"Cysteine desulfurase (EC 2.8.1.7), SufS subfamily"
"Cysteine desulfurase (EC 2.8.1.7)"
"D-3-phosphoglycerate dehydrogenase (EC 1.1.1.95)"
"Phosphoserine aminotransferase (EC 2.6.1.52)"
"Phosphoserine phosphatase (EC 3.1.3.3)"
"Serine hydroxymethyltransferase (EC 2.1.2.1)"
"Diaminopimelate epimerase (EC 5.1.1.7)"
"Glutamate racemase (EC 5.1.1.3)"
"Arginine/ornithine antiporter ArcD"
"Delta-1-pyrroline-5-carboxylate dehydrogenase (EC 1.5.1.12)"
"NADP-specific glutamate dehydrogenase (EC 1.4.1.4)"
"Ornithine carbamoyltransferase (EC 2.1.3.3)"
"Acetylglutamate kinase (EC 2.7.2.8)"
"Acetylornithine aminotransferase (EC 2.6.1.11)"
"Argininosuccinate lyase (EC 4.3.2.1)"
"Argininosuccinate synthase (EC 6.3.4.5)"
"N-acetyl-gamma-glutamyl-phosphate reductase (EC 1.2.1.38)"
"N-succinyl-L,L-diaminopimelate desuccinylase (EC 3.5.1.18)"
"Asparaginyl-tRNA synthetase (EC 6.1.1.22)"
"Aspartate aminotransferase (EC 2.6.1.1)"
"Carbamoyl-phosphate synthase large chain (EC 6.3.5.5)"
"Carbamoyl-phosphate synthase small chain (EC 6.3.5.5)"
"Dihydrolipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex (EC 2.3.1.168)"
"Electron transfer flavoprotein, alpha subunit"
"Electron transfer flavoprotein, beta subunit"
"2-isopropylmalate synthase (EC 2.3.3.13)"
"3-isopropylmalate dehydratase large subunit (EC 4.2.1.33)"
"3-isopropylmalate dehydratase small subunit (EC 4.2.1.33)"
"3-isopropylmalate dehydrogenase (EC 1.1.1.85)"
"Acetolactate synthase large subunit (EC 2.2.1.6)"
"Dihydroxy-acid dehydratase (EC 4.2.1.9)"
"Ketol-acid reductoisomerase (EC 1.1.1.86)"
"Threonine dehydratase (EC 4.3.1.19)"
"2-keto-3-deoxy-D-arabino-heptulosonate-7-phosphate synthase II (EC 2.5.1.54)"
"3-dehydroquinate synthase (EC 4.2.3.4)"
"5-Enolpyruvylshikimate-3-phosphate synthase (EC 2.5.1.19)"
"Chorismate synthase (EC 4.2.3.5)"
"Shikimate 5-dehydrogenase I alpha (EC 1.1.1.25)"
"2-keto-3-deoxy-D-arabino-heptulosonate-7-phosphate synthase I alpha (EC 2.5.1.54)"
"Prephenate dehydratase (EC 4.2.1.51)"
"2-Keto-3-deoxy-D-manno-octulosonate-8-phosphate synthase (EC 2.5.1.55)"
"Acetaldehyde dehydrogenase (EC 1.2.1.10)"
