Database,Sample set,PC direction loadings,ID,Description
KEGG,All samples,PC1 negative,K03205,type IV secretion system protein VirD4 [EC:7.4.2.8]
KEGG,All samples,PC1 negative,K16926,energy-coupling factor transport system substrate-specific component
KEGG,All samples,PC1 negative,K02005,HlyD family secretion protein
KEGG,All samples,PC1 negative,K02117,V/A-type H+/Na+-transporting ATPase subunit A [EC:7.1.2.2 7.2.2.1]
KEGG,All samples,PC1 negative,K07133,uncharacterized protein
KEGG,All samples,PC1 negative,K16785,energy-coupling factor transport system permease protein
KEGG,All samples,PC1 negative,K02034,peptide/nickel transport system permease protein
KEGG,All samples,PC1 negative,K07052,uncharacterized protein
KEGG,All samples,PC1 negative,K01999,branched-chain amino acid transport system substrate-binding protein
KEGG,All samples,PC1 negative,K06147,"ATP-binding cassette, subfamily B, bacterial"
KEGG,All samples,PC1 positive,K01903,succinyl-CoA synthetase beta subunit [EC:6.2.1.5]
KEGG,All samples,PC1 positive,K01092,myo-inositol-1(or 4)-monophosphatase [EC:3.1.3.25]
KEGG,All samples,PC1 positive,K01902,succinyl-CoA synthetase alpha subunit [EC:6.2.1.5]
KEGG,All samples,PC1 positive,K01961,"acetyl-CoA carboxylase, biotin carboxylase subunit [EC:6.4.1.2 6.3.4.14]"
KEGG,All samples,PC1 positive,K00526,ribonucleoside-diphosphate reductase beta chain [EC:1.17.4.1]
KEGG,All samples,PC1 positive,K01696,tryptophan synthase beta chain [EC:4.2.1.20]
KEGG,All samples,PC1 positive,K07173,S-ribosylhomocysteine lyase [EC:4.4.1.21]
KEGG,All samples,PC1 positive,K00674,"2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase [EC:2.3.1.117]"
KEGG,All samples,PC1 positive,K00658,2-oxoglutarate dehydrogenase E2 component (dihydrolipoamide succinyltransferase) [EC:2.3.1.61]
KEGG,All samples,PC1 positive,K01657,anthranilate synthase component I [EC:4.1.3.27]
KEGG,All samples,PC2 negative,K07729,putative transcriptional regulator
KEGG,All samples,PC2 negative,K03574,8-oxo-dGTP diphosphatase [EC:3.6.1.55]
KEGG,All samples,PC2 negative,K15634,probable phosphoglycerate mutase [EC:5.4.2.12]
KEGG,All samples,PC2 negative,K01104,protein-tyrosine phosphatase [EC:3.1.3.48]
KEGG,All samples,PC2 negative,K07052,uncharacterized protein
KEGG,All samples,PC2 negative,K03402,transcriptional regulator of arginine metabolism
KEGG,All samples,PC2 negative,K02027,multiple sugar transport system substrate-binding protein
KEGG,All samples,PC2 negative,K01589,5-(carboxyamino)imidazole ribonucleotide synthase [EC:6.3.4.18]
KEGG,All samples,PC2 negative,K02440,glycerol uptake facilitator protein
KEGG,All samples,PC2 negative,K01990,ABC-2 type transport system ATP-binding protein
KEGG,All samples,PC2 positive,K03169,DNA topoisomerase III [EC:5.6.2.1]
KEGG,All samples,PC2 positive,K03569,rod shape-determining protein MreB and related proteins
KEGG,All samples,PC2 positive,K00027,malate dehydrogenase (oxaloacetate-decarboxylating) [EC:1.1.1.38]
KEGG,All samples,PC2 positive,K02012,iron(III) transport system substrate-binding protein
KEGG,All samples,PC2 positive,K03043,DNA-directed RNA polymerase subunit beta [EC:2.7.7.6]
KEGG,All samples,PC2 positive,K00794,"6,7-dimethyl-8-ribityllumazine synthase [EC:2.5.1.78]"
KEGG,All samples,PC2 positive,K01610,phosphoenolpyruvate carboxykinase (ATP) [EC:4.1.1.49]
KEGG,All samples,PC2 positive,K01507,inorganic pyrophosphatase [EC:3.6.1.1]
KEGG,All samples,PC2 positive,K01759,lactoylglutathione lyase [EC:4.4.1.5]
KEGG,All samples,PC2 positive,K03205,type IV secretion system protein VirD4 [EC:7.4.2.8]
KEGG,Present-day humans removed,PC1 negative,K03205,type IV secretion system protein VirD4 [EC:7.4.2.8]
KEGG,Present-day humans removed,PC1 negative,K16926,energy-coupling factor transport system substrate-specific component
KEGG,Present-day humans removed,PC1 negative,K02005,HlyD family secretion protein
KEGG,Present-day humans removed,PC1 negative,K02117,V/A-type H+/Na+-transporting ATPase subunit A [EC:7.1.2.2 7.2.2.1]
KEGG,Present-day humans removed,PC1 negative,K16785,energy-coupling factor transport system permease protein
KEGG,Present-day humans removed,PC1 negative,K07133,uncharacterized protein
KEGG,Present-day humans removed,PC1 negative,K07481,"transposase, IS5 family"
KEGG,Present-day humans removed,PC1 negative,K01999,branched-chain amino acid transport system substrate-binding protein
KEGG,Present-day humans removed,PC1 negative,K02034,peptide/nickel transport system permease protein
KEGG,Present-day humans removed,PC1 negative,K07052,uncharacterized protein
KEGG,Present-day humans removed,PC1 positive,K01903,succinyl-CoA synthetase beta subunit [EC:6.2.1.5]
KEGG,Present-day humans removed,PC1 positive,K01902,succinyl-CoA synthetase alpha subunit [EC:6.2.1.5]
