"sample_number"	"sample_name"	"number_reads_after_clipmerge_prior_mapping"	"number_reads_mapped_prior_rmdup"	"number_reads_mapped_prior_rmdup_qf"	"number_duplicates_removed"	"number_reads_mapped_after_rmdup"	"percent_endogenous_dna"	"percent_endogenous_dna_qf"	"cluster_factor"	"mean_fold_coverage"	"std_dev_coverage"	"percent_coverage_morethan_1x"	"percent_coverage_morethan_2x"	"percent_coverage_morethan_3x"	"percent_coverage_morethan_4x"	"percent_coverage_morethan_5x"	"frequency_damage_1st_base_3prime"	"frequency_damage_2nd_base_3prime"	"frequency_damage_1st_base_5prime"	"frequency_damage_2nd_base_5prime"	"average_fragment_length"	"median_fragment_length"	"percent_gc_content"	"species"	"mapping_params"
"Sample 46/107"	"JAE007.A0101"	66419551	7406176	6497620	1210760	5286860	11.151	9.783	1.229	180.0591	151.7602	90.65	89.67	88.87	88.12	87.29	0.0204	0.0205	0.0197	0.0196	82.23	76	43.98	"Aggregatibacter_aphrophilus"	"relaxed"
"Sample 45/107"	"JAE006.A0101"	87883942	6100025	5323767	958687	4365080	6.941	6.058	1.22	147.2376	129.3243	84.53	78.55	75.32	73.55	72.51	0.0227	0.0232	0.0223	0.0224	81.44	76	44.09	"Aggregatibacter_aphrophilus"	"relaxed"
"Sample 46/107"	"JAE007.A0101"	66419551	5770074	4544423	793454	3750969	8.687	6.842	1.212	127.9306	137.1749	87.75	86.02	84.66	83.33	81.99	0.0129	0.0127	0.0129	0.0125	82.34	76	43.72	"Aggregatibacter_aphrophilus"	"strict"
"Sample 54/107"	"JAE016.A0101"	94564553	3153601	3009932	413320	2596612	3.335	3.183	1.159	114.1876	72.056	83.77	83.34	83.02	82.75	82.5	0.0175	0.0152	0.0207	0.0173	82.51	76	60.92	"Desulfobulbus_sp_oral_taxon_041"	"relaxed"
"Sample 45/107"	"JAE006.A0101"	87883942	4711368	3673984	624386	3049598	5.361	4.18	1.205	103.0317	116.2213	77.95	69.48	65.15	62.87	61.51	0.0144	0.0145	0.0147	0.0148	81.57	76	43.83	"Aggregatibacter_aphrophilus"	"strict"
"Sample 54/107"	"JAE016.A0101"	94564553	2870628	2562125	327742	2234383	3.036	2.709	1.147	98.4338	67.9439	82.47	81.81	81.32	80.91	80.54	0.013	0.0112	0.0158	0.013	82.65	76	60.99	"Desulfobulbus_sp_oral_taxon_041"	"strict"
"Sample 49/107"	"JAE010.A0101"	60027336	3122785	2791752	246800	2544952	5.202	4.651	1.097	82.0886	43.7238	94.72	94.14	93.61	93.1	92.66	0.0291	0.026	0.0319	0.0274	80.83	76	54.88	"Rothia_dentocariosa"	"relaxed"
"Sample 48/107"	"JAE009.A0101"	66062410	3650762	3443037	334322	3108715	5.526	5.212	1.108	74.2183	36.6171	93.24	91.1	89.18	87.77	86.85	0.0182	0.0177	0.0221	0.0198	82.35	76	66.63	"Pseudopropionibacterium_propionicum"	"relaxed"
"Sample 49/107"	"JAE010.A0101"	60027336	3143835	2915913	187488	2728425	5.237	4.858	1.069	64.427	29.7187	94.69	92.73	91.65	91.1	90.75	0.0372	0.0328	0.045	0.0375	81.45	76	66.15	"Pseudopropionibacterium_propionicum"	"relaxed"
"Sample 48/107"	"JAE009.A0101"	66062410	3179755	2716790	245004	2471786	4.813	4.112	1.099	59.1316	36.7024	91.88	88.99	86.51	84.65	83.4	0.0128	0.0124	0.0158	0.014	82.52	76	66.62	"Pseudopropionibacterium_propionicum"	"strict"
"Sample 49/107"	"JAE010.A0101"	60027336	2455921	1950700	149768	1800932	4.091	3.25	1.083	58.0827	39.3709	92.69	91.21	90.01	88.86	87.82	0.0188	0.0166	0.0211	0.018	80.82	76	54.38	"Rothia_dentocariosa"	"strict"
"Sample 49/107"	"JAE010.A0101"	60027336	1958604	1578503	102517	1475986	3.263	2.63	1.069	53.1876	43.8221	92.05	89.91	88.21	86.57	85.1	0.0495	0.0453	0.0541	0.0493	79.16	76	42.27	"Streptococcos_gordonii"	"relaxed"
"Sample 47/107"	"JAE008.A0101"	65296039	2370032	2241708	148934	2092774	3.63	3.433	1.071	50.5761	19.8547	97.52	97.18	96.92	96.7	96.52	0.0134	0.0133	0.0172	0.0148	83.36	76	66.36	"Pseudopropionibacterium_propionicum"	"relaxed"
"Sample 49/107"	"JAE010.A0101"	60027336	2636503	2183628	123988	2059640	4.392	3.638	1.06	48.7292	27.3007	93.46	91.18	89.91	89.21	88.7	0.0252	0.0221	0.0312	0.0258	81.61	76	66.29	"Pseudopropionibacterium_propionicum"	"strict"
"Sample 47/107"	"JAE008.A0101"	65296039	2128751	1908349	114074	1794275	3.26	2.923	1.064	43.5048	18.5905	97.16	96.71	96.32	96.01	95.71	0.0101	0.0099	0.0134	0.0115	83.63	76	66.36	"Pseudopropionibacterium_propionicum"	"strict"
"Sample 50/107"	"JAE012.A0101"	62752277	1404247	1272233	94241	1177992	2.238	2.027	1.08	38.5995	22.2772	89.41	87.33	85.86	84.91	84.2	0.017	0.018	0.0166	0.0172	82.12	76	54.69	"Rothia_dentocariosa"	"relaxed"
"Sample 52/107"	"JAE014.A0101"	68620482	1776803	1661260	97918	1563342	2.589	2.421	1.063	37.5796	17.1211	95.16	94.38	93.81	93.25	92.6	0.0222	0.0211	0.0289	0.0256	82.92	76	66.43	"Pseudopropionibacterium_propionicum"	"relaxed"
"Sample 49/107"	"JAE010.A0101"	60027336	1355703	955575	52224	903351	2.258	1.592	1.058	32.5865	35.0352	85.81	81.19	77.65	74.68	72.02	0.0345	0.0305	0.0385	0.0346	79.24	76	41.75	"Streptococcos_gordonii"	"strict"
"Sample 50/107"	"JAE012.A0101"	62752277	1335255	992368	118114	874254	2.128	1.581	1.135	31.8376	40.7539	89.51	86.84	84.61	82.47	80.43	0.0251	0.0257	0.0238	0.0253	79.99	76	43.49	"Streptococcos_gordonii"	"relaxed"
"Sample 54/107"	"JAE016.A0101"	94564553	1384531	1316779	65565	1251214	1.464	1.392	1.052	29.938	11.222	97.04	96.27	95.72	95.21	94.75	0.0124	0.0119	0.0158	0.0144	82.53	76	66.3	"Pseudopropionibacterium_propionicum"	"relaxed"
"Sample 52/107"	"JAE014.A0101"	68620482	1529106	1298007	68261	1229746	2.228	1.892	1.056	29.6297	16.2472	94.37	93.23	92.24	91.21	90.01	0.0155	0.0145	0.0207	0.0184	83.11	76	66.47	"Pseudopropionibacterium_propionicum"	"strict"
"Sample 45/107"	"JAE006.A0101"	87883942	1505359	1016534	187154	829380	1.713	1.157	1.226	29.0507	71.2598	34.38	30.48	28.93	27.87	27.01	0.0297	0.0311	0.0288	0.0295	76.94	76	45.61	"Streptococcos_gordonii"	"relaxed"
"Sample 50/107"	"JAE012.A0101"	62752277	1136095	922738	63671	859067	1.81	1.47	1.074	28.1559	22.0236	84.33	80.44	77.86	75.98	74.53	0.011	0.0116	0.0114	0.0119	82.13	76	54.23	"Rothia_dentocariosa"	"strict"
"Sample 54/107"	"JAE016.A0101"	94564553	1273384	1167977	53941	1114036	1.347	1.235	1.048	26.7406	10.9633	96.29	95.31	94.52	93.77	93.1	0.0093	0.0087	0.0122	0.0113	82.8	76	66.31	"Pseudopropionibacterium_propionicum"	"strict"
"Sample 52/107"	"JAE014.A0101"	68620482	742253	630250	32440	597810	1.082	0.918	1.054	20.2413	18.1355	76.33	72.3	69.52	67.43	65.73	0.0315	0.0299	0.0368	0.0325	81.75	76	44.01	"Aggregatibacter_aphrophilus"	"relaxed"
"Sample 45/107"	"JAE006.A0101"	87883942	765559	633242	51045	582197	0.871	0.721	1.088	18.688	31.6179	89.6	85.93	82.56	79.17	75.21	0.0193	0.0201	0.0189	0.0187	80.44	76	56.71	"Rothia_dentocariosa"	"relaxed"
"Sample 51/107"	"JAE013.A0101"	38954329	761471	547755	34646	513109	1.955	1.406	1.068	18.4313	26.767	88.35	83.49	79.28	75.43	71.58	0.0302	0.0303	0.032	0.0324	78.91	76	44.14	"Streptococcos_gordonii"	"relaxed"
"Sample 46/107"	"JAE007.A0101"	66419551	769227	539969	29234	510735	1.158	0.813	1.057	18.3636	30.3629	65.24	57.94	53.25	49.76	46.84	0.0318	0.0351	0.03	0.0331	78.18	76	31.89	"Fusobacterium_nucleatum"	"relaxed"
"Sample 50/107"	"JAE012.A0101"	62752277	843758	537216	49361	487855	1.345	0.856	1.101	17.8169	27.5137	81.03	75.63	71.63	68.01	64.53	0.0139	0.0139	0.014	0.0147	80.22	76	42.6	"Streptococcos_gordonii"	"strict"
"Sample 47/107"	"JAE008.A0101"	65296039	622418	482871	22202	460669	0.953	0.74	1.048	17.056	15.7209	87.14	83.95	81.35	79.07	76.87	0.029	0.0294	0.0315	0.0315	81.33	76	42.3	"Streptococcos_gordonii"	"relaxed"
"Sample 46/107"	"JAE007.A0101"	66419551	600199	536525	17735	518790	0.904	0.808	1.034	16.9213	11.4305	90.76	88.04	85.89	84.13	82.57	0.0158	0.0172	0.0153	0.016	81.74	76	54.71	"Rothia_dentocariosa"	"relaxed"
"Sample 48/107"	"JAE009.A0101"	66062410	425916	403808	14634	389174	0.645	0.611	1.038	16.7446	12.3473	80.56	79.63	78.92	78.23	77.52	0.0288	0.0242	0.0376	0.0278	80.72	76	60.7	"Desulfobulbus_sp_oral_taxon_041"	"relaxed"
"Sample 46/107"	"JAE007.A0101"	66419551	759907	494610	53064	441546	1.144	0.745	1.12	15.5939	37.1044	32.14	29.02	27.45	26.37	25.53	0.0281	0.0297	0.0255	0.028	77.58	76	45.25	"Streptococcos_gordonii"	"relaxed"
"Sample 95/107"	"PYK002.A0101"	17218978	633494	571776	20063	551713	3.679	3.321	1.036	14.519	10.7531	78.86	77.9	77.13	76.39	75.59	0.1559	0.1032	0.1511	0.1	49.37	45	59.83	"Desulfobulbus_sp_oral_taxon_041"	"relaxed"
"Sample 86/107"	"OAK004.A0101"	13488774	1319192	1095490	60528	1034962	9.78	8.121	1.058	14.3136	9.1543	91.82	88.41	85.16	82.16	79.46	0.1435	0.0908	0.1409	0.0894	47.7	43	65.16	"Pseudopropionibacterium_propionicum"	"relaxed"
"Sample 48/107"	"JAE009.A0101"	66062410	381569	338650	10811	327839	0.578	0.513	1.033	14.1671	10.4774	78.54	76.95	75.63	74.48	73.36	0.0209	0.0169	0.0288	0.0204	81.07	76	60.83	"Desulfobulbus_sp_oral_taxon_041"	"strict"
"Sample 25/107"	"EMN001.A0101"	12579489	463637	422771	14428	408343	3.686	3.361	1.035	13.7706	9.8632	85.19	81.63	79.24	77.49	76.09	0.2699	0.1288	0.2785	0.1299	63.27	59	59.28	"Desulfobulbus_sp_oral_taxon_041"	"relaxed"
"Sample 52/107"	"JAE014.A0101"	68620482	549443	412772	19296	393476	0.801	0.602	1.049	13.359	15.3935	65.79	60.45	56.95	54.32	52.22	0.0203	0.0193	0.025	0.0216	81.97	76	43.8	"Aggregatibacter_aphrophilus"	"strict"
"Sample 101/107"	"TAF008.B0101"	11524885	678060	589453	94103	495350	5.883	5.115	1.19	13.0523	10.1203	86.12	83.3	81.02	78.87	76.63	0.3881	0.1927	0.3852	0.1853	49.43	45	59.42	"Desulfobulbus_sp_oral_taxon_041"	"relaxed"
